gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
LAN202007230,SFN,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,kaplg001,value,33,32,1,8,0,0,0,1,0,1,0,0,0,8,0,0,1,0,1,24,0,43,12,4,0,1,8,8,5,0,6,1,0,0,0,0,0,0,0,24,12,1,1,0,0,0,0,0,yastm001,florw001,sandp001,dicka001,pench001,mccaj002,dubom001,crawb001,heint001,cuetj001,heint001,sandp001,dubom001,florw001,crawb001,dicka001,yastm001,mccaj002,pench001,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,LAN,0,0,0,1,0,0,5,2,,,,,,,,,,,,,,,,,,,,,11,robed001,value,43,37,8,12,4,0,1,8,0,0,1,5,0,6,0,0,1,0,2,27,0,33,8,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,27,11,1,2,0,0,0,0,0,muncm001,bettm001,bellc002,turnj001,seagc001,herne001,pedej001,polla001,barna001,may-d003,barna001,muncm001,herne001,turnj001,seagc001,pedej001,bellc002,bettm001,polla001,20200723,0,LOS03,h,SFN,1,0,0,regular,y,y
WAS202007230,NYA,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,6,boona001,value,26,22,4,6,1,0,1,4,0,0,0,4,0,11,0,0,0,0,0,15,0,18,1,0,0,1,1,1,1,0,5,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,hicka001,judga001,torrg001,stanm004,gardb001,sancg002,voitl001,urshg001,wadet002,coleg001,sancg002,voitl001,wadet002,urshg001,torrg001,gardb001,hicka001,judga001,stanm004,20200723,0,WAS11,v,WAS,1,0,0,regular,y,y
WAS202007230,WAS,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,martd002,value,18,16,1,1,0,0,1,1,0,0,1,1,0,5,0,0,0,0,0,16,0,26,6,1,0,1,4,4,4,0,11,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,turnt001,eatoa002,casts001,kendh001,thame001,suzuk001,cabra002,steva001,roblv001,schem001,suzuk001,thame001,casts001,cabra002,turnt001,steva001,roblv001,eatoa002,kendh001,20200723,0,WAS11,h,NYA,0,1,0,regular,y,y
BOS202007240,BAL,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,5,hydeb801,value,34,31,2,6,3,0,1,2,0,0,2,1,0,8,0,0,2,0,1,24,0,47,17,8,0,0,13,13,7,0,9,0,2,0,0,0,0,0,0,24,7,0,0,0,0,2,0,0,haysa001,santa003,iglej001,nuner001,davic003,albeh001,ruizr002,sevep001,stewd002,milot001,sevep001,davic003,albeh001,ruizr002,iglej001,stewd002,haysa001,santa003,nuner001,20200724,0,BOS07,v,BOS,0,1,0,regular,y,y
BOS202007240,BOS,0,0,4,6,0,3,0,0,,,,,,,,,,,,,,,,,,,,,10,roenr001,value,47,40,13,17,8,0,0,13,0,0,0,7,0,9,0,0,0,0,0,27,0,34,6,3,0,1,2,2,1,0,8,2,0,0,0,0,0,0,0,27,13,1,3,0,0,0,0,0,benia002,martj006,dever001,bogax001,pillk001,vazqc001,chavm001,bradj001,peraj003,eovan001,vazqc001,chavm001,peraj003,dever001,bogax001,benia002,bradj001,pillk001,martj006,20200724,0,BOS07,h,BAL,1,0,0,regular,y,y
CHA202007240,MIN,4,1,0,2,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,6,baldr001,value,43,37,10,11,0,0,2,10,0,1,0,5,0,9,0,0,0,0,0,27,0,38,9,3,0,1,5,5,3,0,8,0,1,0,0,0,0,0,0,27,7,0,1,0,0,1,0,0,keplm001,donaj001,polaj001,cruzn002,rosae001,garvm001,cavej001,sanom001,arral001,berrj001,garvm001,sanom001,arral001,donaj001,polaj001,rosae001,cavej001,keplm001,cruzn002,20200724,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202007240,CHA,1,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,rentr001,value,38,35,5,9,3,0,1,4,0,0,0,3,0,8,0,0,1,0,0,27,0,43,11,0,0,2,10,10,5,0,9,0,1,0,0,1,0,0,1,27,10,0,0,0,1,1,0,0,andet001,moncy001,abrej003,grany001,encae001,jimee001,robel002,delmn001,garcl004,gioll001,grany001,abrej003,garcl004,moncy001,andet001,jimee001,robel002,delmn001,encae001,20200724,0,CHI12,h,MIN,0,1,0,regular,y,y
CHN202007240,MIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,counc001,value,30,30,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,24,0,30,5,1,0,2,3,3,1,0,7,1,0,0,0,0,0,0,0,24,11,1,2,0,0,0,0,0,sogae001,yelic001,hiurk001,smoaj001,braur002,garca003,narvo001,cainl001,arcio002,woodb005,narvo001,smoaj001,hiurk001,sogae001,arcio002,yelic001,cainl001,garca003,braur002,20200724,0,CHI11,v,CHN,0,1,0,regular,y,y
CHN202007240,CHN,0,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,3,rossd001,value,30,28,3,5,1,0,2,3,0,0,1,1,0,7,0,0,2,0,1,27,0,30,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,bryak001,rizza001,baezj001,schwk001,contw001,heywj001,carav001,hoern001,happi001,hendk001,contw001,rizza001,hoern001,bryak001,baezj001,schwk001,happi001,heywj001,carav001,20200724,0,CHI11,h,MIL,1,0,0,regular,y,y
