id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
abadf001,Abad,Fernando,L,L,BOS,48,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,20170412,20171001
abrej003,Abreu,Jose,R,R,CHA,156,0,0,0,0,139,0,0,0,0,0,0,0,18,0,0,20170404,20171001
adama002,Adams,Austin,R,R,WAS,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20170715,20171001
adamc001,Adames,Cristhian,B,R,COL,12,0,0,0,0,1,1,0,1,0,0,0,0,0,10,0,20170405,20170428
adaml001,Adams,Lane,R,R,ATL,85,0,0,0,0,0,0,0,0,27,11,7,41,0,51,9,20170427,20171001
adamm002,Adams,Matt,L,R,ATL,100,0,0,0,0,59,0,0,0,13,0,0,13,0,29,0,20170521,20170930
adamm002,Adams,Matt,L,R,SLN,31,0,0,0,0,3,0,0,0,6,0,0,6,2,22,0,20170404,20170519
adduj002,Adduci,Jim,L,L,DET,29,0,0,0,0,0,0,0,0,0,0,26,26,2,2,3,20170423,20170811
adlet001,Adleman,Tim,R,R,CIN,30,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,20170416,20170919
adrie001,Adrianza,Ehire,B,R,MIN,71,0,0,0,0,4,9,9,29,18,0,0,18,3,15,6,20170506,20171003
aguij001,Aguilar,Jesus,R,R,MIL,133,0,0,0,0,77,0,1,0,0,0,0,0,3,66,0,20170403,20171001
ahmen001,Ahmed,Nick,R,R,ARI,53,0,0,0,0,0,0,0,48,0,0,0,0,0,7,0,20170402,20170627
albea001,Albers,Andrew,R,L,SEA,9,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,20170815,20170930
albem001,Albers,Matt,L,R,WAS,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,20170410,20171012
albio001,Albies,Ozzie,B,R,ATL,57,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,20170801,20171001
albua001,Alburquerque,Al,R,R,CHA,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20170908,20170930
albua001,Alburquerque,Al,R,R,KCA,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20170511,20170722
alcaa001,Alcantara,Arismendy,B,R,CIN,70,0,0,0,0,0,10,4,6,3,7,7,17,0,37,4,20170403,20170809
alcar001,Alcantara,Raul,R,R,OAK,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,20170407,20170929
alcas001,Alcantara,Sandy,R,R,SLN,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20170903,20171001
alcav001,Alcantara,Victor,R,R,DET,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20170905,20170929
alexs001,Alexander,Scott,L,L,KCA,58,58,0,58,0,0,0,0,0,0,0,0,0,0,0,0,20170412,20170929
alfaj002,Alfaro,Jorge,R,R,PHI,29,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,20170805,20170930
alfoa002,Alford,Anthony,R,R,TOR,4,0,0,0,0,0,0,0,0,3,0,2,4,0,2,0,20170519,20170523
allec002,Allen,Cody,R,R,CLE,73,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,20170403,20171011
alleg002,Allen,Greg,B,R,CLE,27,0,0,0,0,0,0,0,0,5,22,0,26,1,1,7,20170901,20171008
almoa001,Almonte,Abraham,B,R,CLE,69,0,0,0,0,0,0,0,0,20,8,32,58,4,7,7,20170403,20171001
almoa002,Almora,Albert,R,R,CHN,141,0,0,0,0,0,0,0,0,1,112,1,113,0,45,0,20170404,20171019
almom001,Almonte,Miguel,R,R,KCA,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20170528,20170701
alony001,Alonso,Yonder,L,R,ALS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20170711,20170711
alony001,Alonso,Yonder,L,R,OAK,100,0,0,0,0,96,0,0,0,0,0,0,0,1,6,0,20170403,20170805
alony001,Alonso,Yonder,L,R,SEA,42,0,0,0,0,39,0,0,0,0,0,0,0,0,7,0,20170808,20171001
altad001,Altavilla,Dan,R,R,SEA,41,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,20170404,20170930
altha001,Altherr,Aaron,R,R,PHI,107,0,0,0,0,0,0,0,0,52,19,50,106,0,7,0,20170405,20171001
altuj001,Altuve,Jose,R,R,ALS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20170711,20170711
altuj001,Altuve,Jose,R,R,HOU,171,0,0,0,0,0,167,0,0,0,0,0,0,3,1,1,20170403,20171101
alvad001,Alvarez,Dario,L,L,TEX,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20170404,20170628
alvah001,Alvarez,Henderson,R,R,PHI,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20170917,20170930
alvaj003,Alvarez,Jose,L,L,ANA,64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,20170403,20171001
alvaj004,Alvarado,Jose,L,L,TBA,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20170503,20170928
alvap001,Alvarez,Pedro,L,R,BAL,14,0,0,0,0,2,0,0,0,0,0,0,0,8,6,0,20170905,20170930
amara001,Amarista,Alexi,L,R,COL,97,0,0,0,0,0,19,1,18,5,9,9,22,0,53,3,20170403,20171004
