id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
abboa001,Abbott,Andrew,L,L,CIN,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,20240401,20240818
abrac001,Abrams,CJ,L,R,NLS,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20240716,20240716
abrac001,Abrams,CJ,L,R,WAS,138,0,0,0,0,0,0,0,136,0,0,0,0,0,2,1,20240328,20240920
abreb002,Abreu,Bryan,R,R,HOU,79,79,0,79,0,0,0,0,0,0,0,0,0,0,0,0,20240330,20241002
abrej003,Abreu,Jose,R,R,HOU,35,0,0,0,0,35,0,0,0,0,0,0,0,0,2,0,20240328,20240612
abrew002,Abreu,Wilyer,L,L,BOS,132,0,0,0,0,0,0,0,0,5,1,125,130,1,20,1,20240330,20240929
acunl001,Acuna,Jose,R,R,NYN,23,0,0,0,0,0,8,0,12,0,0,0,0,3,1,3,20240914,20241018
acunr001,Acuna,Ronald,R,R,ATL,49,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,20240329,20240526
adama002,Adams,Austin,R,R,OAK,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,20240329,20240813
adamj002,Adam,Jason,R,R,SDN,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,20240731,20241011
adamj002,Adam,Jason,R,R,TBA,47,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,20240329,20240726
adamj003,Adams,Jordyn,R,R,ANA,11,0,0,0,0,0,0,0,0,1,4,6,11,0,1,0,20240908,20240926
adamr004,Adams,Riley,R,R,WAS,41,0,0,0,40,0,0,0,0,0,0,0,0,1,1,0,20240401,20240820
adamw002,Adames,Willy,R,R,MIL,164,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,20240329,20241003
adcot001,Adcock,Ty,R,R,NYN,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20240629,20240705
adelj001,Adell,Jo,R,R,ANA,130,0,0,0,0,0,0,0,0,0,4,119,123,4,8,2,20240328,20240906
adonj001,Adon,Joan,R,R,WAS,8,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,20240409,20240822
adrie001,Adrianza,Ehire,B,R,ANA,8,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,20240422,20240508
aguij002,Aguiar,Julian,L,R,CIN,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20240819,20240919
ahmen001,Ahmed,Nick,R,R,LAN,17,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,20240724,20240818
ahmen001,Ahmed,Nick,R,R,SDN,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20240928,20240929
ahmen001,Ahmed,Nick,R,R,SFN,52,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,20240328,20240707
akink001,Akin,Keegan,L,L,BAL,67,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,20240328,20241001
albio001,Albies,Ozzie,B,R,ATL,101,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,20240329,20241002
alcaj001,Alcala,Jorge,R,R,MIN,54,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,20240330,20240929
alcak001,Alcantara,Kevin,R,R,CHN,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,20240925,20240929
aldes001,Aldegheri,Sam,L,L,ANA,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20240830,20240913
alexb001,Alexander,Blaze,R,R,ARI,61,0,0,0,0,0,17,8,20,0,0,0,0,16,4,5,20240328,20240818
alexc001,Alexander,CJ,L,R,KCA,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,20240624,20240702
alexs001,Alexander,Scott,L,L,OAK,45,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20240521,20240928
alext001,Alexander,Tyler,R,L,TBA,23,23,9,14,0,0,0,0,0,0,0,0,0,0,0,0,20240331,20240926
allak001,Allard,Kolby,L,L,PHI,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,20240728,20240924
allel002,Allen,Logan,R,L,ARI,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20240418,20240608
allel003,Allen,Logan,R,L,CLE,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20240329,20240826
allen002,Allen,Nick,R,R,OAK,41,0,0,0,0,0,2,5,34,0,0,0,0,0,0,4,20240328,20240929
almoy001,Almonte,Yency,R,R,CHN,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,20240328,20240507
alonp001,Alonso,Pete,R,R,NLS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20240716,20240716
alonp001,Alonso,Pete,R,R,NYN,175,0,0,0,0,174,0,0,0,0,0,0,0,1,1,0,20240329,20241020
altad001,Altavilla,Dan,R,R,KCA,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,20240610,20240619
altuj001,Altuve,Jose,R,R,HOU,155,0,0,0,0,0,149,0,0,0,0,0,0,5,2,0,20240328,20241002
alvaa002,Alvarez,Armando,R,R,OAK,16,0,0,0,0,5,1,6,0,2,0,0,2,0,4,0,20240622,20240912
alvae001,Alvarez,Eddy,L,R,NYN,13,1,0,1,0,0,11,0,1,0,0,0,0,0,0,2,20240909,20240930
alvaf001,Alvarez,Francisco,R,R,NYN,113,0,0,0,109,0,0,0,0,0,0,0,0,3,5,0,20240329,20241020
alvaj004,Alvarado,Jose,L,L,PHI,67,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,20240329,20241008
alvan001,Alvarez,Nacho,R,R,ATL,8,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,20240722,20240730
alvay001,Alvarez,Yordan,L,R,ALS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20240716,20240716
alvay001,Alvarez,Yordan,L,R,HOU,149,0,0,0,0,0,0,0,0,53,0,0,53,96,0,0,20240328,20241002
alzoa001,Alzolay,Adbert,R,R,CHN,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20240328,20240512
amada001,Amador,Adael,B,R,COL,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20240609,20240620
