gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
ANA202204070,HOU,ANA,ANA01,20220407,0,6:38PM,night,9,2,true,,195,44723,unknown,none,sunny,93,torf,6,munse701,,,hicke901,carav901,viscj901,willr901,(none),(none),valdf001,ohtas001,presr001,regular,3,1,HOU,ANA,y,both,y,y,y,2022
ARI202204070,SDN,ARI,PHO01,20220407,0,6:40PM,night,9,2,true,,198,35508,unknown,none,sunny,93,ltor,6,black701,,,vanol901,belld901,barbs901,valej901,(none),(none),mantj002,suarr002,,regular,2,4,ARI,SDN,y,both,y,y,y,2022
ATL202204070,CIN,ATL,ATL03,20220407,0,8:08PM,night,9,2,true,,181,40545,unknown,none,cloudy,63,rtol,15,curtg701,,,laynj901,wendh902,whitc901,hamaa901,(none),(none),mahlt001,friem001,santt001,regular,6,3,CIN,ATL,y,both,y,y,y,2022
CHN202204070,MIL,CHN,CHI11,20220407,0,1:20PM,day,9,2,true,,198,35112,unknown,none,cloudy,44,tocf,14,speaa701,,,barrt901,barkl901,lentn901,cejan901,(none),(none),givem001,ashba003,robed002,regular,4,5,CHN,MIL,y,both,y,y,y,2022
KCA202204070,CLE,KCA,KAN06,20220407,0,3:10PM,day,9,2,true,,169,28459,unknown,none,cloudy,47,ltor,16,utslm701,,,cuzzp901,blasc901,rippm901,bacce901,(none),(none),barls001,mcket001,,regular,1,3,KCA,CLE,y,both,y,y,y,2022
SLN202204070,PIT,SLN,STL10,20220407,0,3:15PM,day,9,2,true,,188,46256,unknown,none,cloudy,50,torf,20,muelg701,,,reynj901,ticht901,muchm901,merzd901,(none),(none),waina001,brubj001,,regular,0,9,SLN,PIT,y,both,y,y,y,2022
WAS202204070,NYN,WAS,WAS11,20220407,0,7:05PM,night,9,2,true,,211,35052,unknown,none,cloudy,52,torf,4,tritb701,,,carlm901,guccc901,bakej902,addir901,(none),(none),megit002,corbp001,,regular,5,1,NYN,WAS,y,both,y,y,y,2022
ANA202204080,HOU,ANA,ANA01,20220408,0,6:38PM,night,9,2,true,,224,42719,unknown,none,sunny,93,rtol,10,munse701,,,carav901,viscj901,willr901,hicke901,(none),(none),montr004,orteo001,,regular,13,6,HOU,ANA,y,both,y,y,y,2022
ARI202204080,SDN,ARI,PHO01,20220408,0,6:40PM,night,9,2,true,,164,17297,unknown,none,sunny,95,unknown,2,johnj701,,,belld901,barbs901,valej901,vanol901,(none),(none),manas001,pereo002,roget001,regular,3,0,SDN,ARI,y,both,y,y,y,2022
ATL202204080,CIN,ATL,ATL03,20220408,0,7:20PM,night,9,2,true,,187,40234,unknown,none,cloudy,46,rtol,3,curtg701,,,wendh902,whitc901,hamaa901,laynj901,(none),(none),mortc002,sanmr001,,regular,6,7,ATL,CIN,y,both,y,y,y,2022
COL202204080,LAN,COL,DEN02,20220408,0,2:10PM,day,9,2,true,,189,48627,unknown,none,sunny,66,rtol,6,geibj701,,,wegnm901,porta901,riggj901,rehaj901,(none),(none),buehw001,freek001,kimbc001,regular,5,3,LAN,COL,y,both,y,y,y,2022
DET202204080,CHA,DET,DET05,20220408,0,1:10PM,day,9,2,true,,210,43480,unknown,none,cloudy,45,rtol,10,kleir701,,,hudsm901,johna901,tumpj901,blakr901,(none),(none),sotog003,hendl001,,regular,4,5,DET,CHA,y,both,y,y,y,2022
MIN202204080,SEA,MIN,MIN04,20220408,0,3:10PM,day,9,2,true,,173,35462,unknown,none,sunny,45,torf,17,johns701,,,kulpr901,fostm901,conrc901,torrc901,(none),(none),ray-r002,ryanj002,stecd001,regular,2,1,SEA,MIN,y,both,y,y,y,2022
