gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
BOS202303300,BAL,BOS,BOS07,20230330,0,2:10PM,day,9,2,true,,190,36049,unknown,none,sunny,38,ltor,12,ellib701,,,barkl901,littw901,addir901,merzd901,(none),(none),gibsk002,klubc001,bautf001,regular,10,9,BAL,BOS,y,both,y,y,y,2023
CHN202303300,MIL,CHN,CHI11,20230330,0,1:20PM,day,9,2,true,,141,36054,unknown,none,sunny,42,rtol,10,speaa701,,,kulpr901,blasc901,torrc901,viscj901,(none),(none),strom001,burnc002,,regular,0,4,CHN,MIL,y,both,y,y,y,2023
CIN202303300,PIT,CIN,CIN09,20230330,0,4:10PM,day,9,2,true,,182,44063,unknown,none,sunny,61,fromrf,6,rothr701,,,wegnm901,drecb901,sches901,moorm901,(none),(none),zastr001,farmb001,bednd001,regular,5,4,PIT,CIN,y,both,y,y,y,2023
HOU202303300,CHA,HOU,HOU03,20230330,0,6:08PM,night,9,2,true,,158,43032,unknown,none,dome,73,unknown,0,wilkt701,,,millb901,drakr901,whitc901,ortir901,(none),(none),gravk001,presr001,loper003,regular,3,2,CHA,HOU,y,both,y,y,y,2023
KCA202303300,MIN,KCA,KAN06,20230330,0,3:10PM,day,9,2,true,,152,38351,unknown,none,cloudy,67,rtol,20,butcp701,,,ticht901,knigb901,tosia901,randt901,(none),(none),lopep002,greiz001,duraj002,regular,2,0,MIN,KCA,y,both,y,y,y,2023
LAN202303300,ARI,LAN,LOS03,20230330,0,7:10PM,night,9,2,true,,155,52075,unknown,none,sunny,54,torf,4,munse701,,,hudsm901,wendh902,tumpj901,blakr901,(none),(none),uriaj001,gallz001,,regular,2,8,LAN,ARI,y,both,y,y,y,2023
MIA202303300,NYN,MIA,MIA02,20230330,0,4:10PM,day,9,2,true,,162,31397,unknown,none,dome,76,unknown,0,jernr701,,,vanol901,guccc901,rackd901,mosce901,(none),(none),schem001,scott003,robed002,regular,5,3,NYN,MIA,y,both,y,y,y,2023
NYA202303300,SFN,NYA,NYC21,20230330,0,1:05PM,day,9,2,true,,153,46172,unknown,none,sunny,39,ltor,13,sprej701,,,diazl901,fleta901,bacce901,estam901,(none),(none),coleg001,webbl001,,regular,0,5,NYA,SFN,y,both,y,y,y,2023
OAK202303300,ANA,OAK,OAK01,20230330,0,7:07PM,night,9,2,true,,150,26805,unknown,none,cloudy,52,torf,10,irvia701,,,johna901,gonzm901,wolcq901,valej901,(none),(none),may-t001,loupa001,jimed002,regular,1,2,OAK,ANA,y,both,y,y,y,2023
SDN202303300,COL,SDN,SAN02,20230330,0,6:40PM,night,9,2,true,,176,45103,unknown,none,cloudy,56,ltor,7,zaveb701,,,conrc901,onorb901,hobep901,cejan901,(none),(none),marqg001,snelb001,,regular,7,2,COL,SDN,y,both,y,y,y,2023
SEA202303300,CLE,SEA,SEA03,20230330,0,7:10PM,night,9,2,true,,134,45268,unknown,none,cloudy,54,tolf,11,padud701,,,carlm901,bakej902,gibsh902,millb903,(none),(none),sewap001,karij001,munoa002,regular,0,3,SEA,CLE,y,both,y,y,y,2023
SLN202303300,TOR,SLN,STL10,20230330,0,3:10PM,day,9,2,true,,218,47649,unknown,none,sunny,70,tolf,16,smitm701,,,iassd901,barrs901,morag901,becka901,(none),(none),garcy001,helsr001,romaj004,regular,10,9,TOR,SLN,y,both,y,y,y,2023
TBA202303300,DET,TBA,STP01,20230330,0,3:10PM,day,9,2,true,,134,25025,unknown,none,dome,72,unknown,0,mathb701,,,laynj901,carav901,mahrn901,hamaa901,(none),(none),mccls003,rodre004,,regular,0,4,TBA,DET,y,both,y,y,y,2023
TEX202303300,PHI,TEX,ARL03,20230330,0,3:05PM,day,9,2,true,,184,38387,unknown,none,cloudy,69,unknown,12,wells701,,,nelsj901,buckc901,segac901,may-b901,(none),(none),ragac001,sotog003,,regular,7,11,TEX,PHI,y,both,y,y,y,2023
WAS202303300,ATL,WAS,WAS11,20230330,0,1:05PM,day,9,2,true,,187,35756,unknown,none,sunny,45,torf,8,tritb701,,,belld901,cuzzp901,rippm901,lives901,(none),(none),luetl001,corbp001,,regular,7,2,ATL,WAS,y,both,y,y,y,2023
HOU202303310,CHA,HOU,HOU03,20230331,0,7:10PM,night,9,2,true,,160,41453,unknown,none,dome,73,unknown,0,fanud701,,,drakr901,whitc901,ortir901,millb901,(none),(none),marts003,gravk001,montr004,regular,3,6,HOU,CHA,y,both,y,y,y,2023
LAN202303310,ARI,LAN,LOS03,20230331,0,7:10PM,night,9,2,true,,161,45389,unknown,none,cloudy,56,ltor,9,reevt701,,,wendh902,tumpj901,blakr901,hudsm901,(none),(none),jamed003,vesia001,chafa001,regular,2,1,ARI,LAN,y,both,y,y,y,2023
MIA202303310,NYN,MIA,MIA02,20230331,0,6:40PM,night,9,2,true,,129,14797,unknown,none,cloudy,80,fromlf,13,jernr701,,,guccc901,rackd901,mosce901,vanol901,(none),(none),luzaj001,peted003,puk-a001,regular,1,2,MIA,NYN,y,both,y,y,y,2023
SDN202303310,COL,SDN,SAN02,20230331,0,6:40PM,night,9,2,true,,147,43177,unknown,none,cloudy,58,ltor,8,mathd701,,,onorb901,hobep901,cejan901,conrc901,(none),(none),freek001,martn002,johnp001,regular,4,1,COL,SDN,y,both,y,y,y,2023
SEA202303310,CLE,SEA,SEA03,20230331,0,7:10PM,night,9,2,true,,185,31516,unknown,none,dome,45,unknown,0,radoe701,,,bakej902,gibsh902,millb903,carlm901,(none),(none),sandn001,ray-r002,,regular,9,4,CLE,SEA,y,both,y,y,y,2023
BOS202304010,BAL,BOS,BOS07,20230401,0,4:10PM,day,9,2,true,,184,29062,unknown,none,cloudy,56,unknown,4,foxxl701,,,littw901,addir901,merzd901,barkl901,(none),(none),jansk001,bautf001,,regular,8,9,BOS,BAL,y,both,y,y,y,2023
CHN202304010,MIL,CHN,CHI11,20230401,0,1:20PM,day,9,2,true,,152,31363,unknown,none,cloudy,39,fromlf,23,lissr701,,,blasc901,torrc901,viscj901,kulpr901,(none),(none),strzp001,assaj001,willd004,regular,3,1,MIL,CHN,y,both,y,y,y,2023
CIN202304010,PIT,CIN,CIN09,20230401,0,4:10PM,day,9,2,true,,136,22224,unknown,none,cloudy,45,unknown,23,sherb701,,,drecb901,sches901,moorm901,wegnm901,(none),(none),lodon001,hillr001,,regular,2,6,CIN,PIT,y,both,y,y,y,2023
HOU202304010,CHA,HOU,HOU03,20230401,0,1:10PM,day,9,2,true,,191,37519,unknown,none,dome,73,unknown,0,johnf701,,,whitc901,ortir901,millb901,drakr901,(none),(none),stanr002,kellj001,nerih001,regular,4,6,HOU,CHA,y,both,y,y,y,2023
KCA202304010,MIN,KCA,KAN06,20230401,0,3:10PM,day,9,2,true,,138,16633,unknown,none,sunny,55,ltor,12,butcp701,,,knigb901,tosia901,randt901,ticht901,(none),(none),grays001,lylej001,lopej004,regular,2,0,MIN,KCA,y,both,y,y,y,2023
LAN202304010,ARI,LAN,LOS03,20230401,0,6:10PM,night,9,2,true,,134,48886,unknown,none,sunny,64,tocf,7,eastr701,,,tumpj901,blakr901,hudsm901,wendh902,(none),(none),kersc001,bumgm001,jacka003,regular,1,10,LAN,ARI,y,both,y,y,y,2023
MIA202304010,NYN,MIA,MIA02,20230401,0,4:10PM,day,9,2,true,,174,14695,unknown,none,dome,72,unknown,0,jernr701,,,rackd901,mosce901,vanol901,guccc901,(none),(none),megit002,narda001,,regular,6,2,NYN,MIA,y,both,y,y,y,2023
