gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI201803290,COL,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,7,blacb001,value,36,33,2,9,0,0,2,2,1,0,0,2,0,12,0,0,2,0,0,24,0,42,12,2,1,0,8,8,6,0,11,0,0,0,0,0,2,0,0,24,8,0,0,0,0,0,2,0,blacc001,lemad001,arenn001,stort001,gonzc001,desmi001,parrg001,iannc001,grayj003,grayj003,iannc001,desmi001,lemad001,arenn001,stort001,parrg001,blacc001,gonzc001,,20180329,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201803290,ARI,3,0,0,0,0,3,2,0,,,,,,,,,,,,,,,,,,,,,10,lovut001,value,42,36,8,12,2,1,0,8,0,0,0,6,0,11,2,0,0,0,0,27,0,36,9,0,0,2,2,2,2,0,12,0,1,0,1,0,0,0,0,27,10,0,2,0,0,1,0,0,perad001,polla001,goldp001,lambj001,martk001,avila001,ahmen001,dysoj001,corbp001,corbp001,avila001,goldp001,martk001,lambj001,ahmen001,perad001,polla001,dysoj001,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ATL201803290,PHI,1,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,6,kaplg001,value,38,31,5,6,2,0,1,5,0,0,1,6,0,11,1,0,2,0,0,26,0,40,9,1,0,3,8,7,4,1,6,1,0,0,1,0,0,0,1,26,11,1,0,0,1,0,0,0,hernc005,santc002,willn001,hoskr001,altha001,crawj002,franm004,knapa001,nolaa001,nolaa001,knapa001,santc002,hernc005,franm004,crawj002,hoskr001,altha001,willn001,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,ATL,0,0,0,0,0,2,0,3,3,,,,,,,,,,,,,,,,,,,,6,snitb801,value,40,34,8,9,1,0,3,7,1,0,1,4,1,6,0,0,0,0,0,27,0,38,6,2,0,1,5,5,6,0,11,1,1,0,0,0,1,0,0,27,9,0,2,0,0,1,1,0,incie001,albio001,freef001,markn001,flowt001,tuckp001,swand001,flahr001,tehej001,tehej001,flowt001,freef001,albio001,flahr001,swand001,tuckp001,incie001,markn001,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
BAL201803290,MIN,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,8,molip001,value,43,40,2,8,0,0,0,2,0,0,0,3,0,11,2,0,1,0,0,30,1,40,5,1,1,1,3,3,5,2,13,0,2,0,1,0,1,0,0,30,9,0,1,0,0,2,1,0,dozib001,mauej001,sanom001,rosae001,morrl001,escoe001,keplm001,buxtb001,castj006,odorj001,castj006,mauej001,dozib001,sanom001,escoe001,rosae001,buxtb001,keplm001,morrl001,20180329,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201803290,BAL,0,0,0,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,7,showb801,value,40,34,3,5,1,1,1,3,1,0,0,5,2,13,1,0,1,0,1,33,0,43,8,0,0,0,2,2,3,0,11,0,1,0,0,0,2,0,1,33,11,0,1,0,1,1,2,0,davic003,machm001,schoj001,jonea003,manct001,beckt001,alvap001,gentc001,josec002,bundd001,josec002,davic003,schoj001,beckt001,machm001,manct001,jonea003,gentc001,alvap001,20180329,0,BAL12,h,MIN,1,0,0,regular,y,y
KCA201803290,CHA,0,0,0,5,3,0,3,3,0,,,,,,,,,,,,,,,,,,,,6,rentr001,value,47,39,14,14,3,0,6,14,0,0,1,7,0,7,0,0,1,0,0,27,0,39,9,3,0,1,7,6,2,0,2,1,2,0,0,0,0,0,0,27,11,1,0,0,0,2,0,0,moncy001,garca003,abrej003,davim005,delmn001,castw002,andet001,sancc001,engea001,shiej002,castw002,abrej003,moncy001,sancc001,andet001,delmn001,engea001,garca003,davim005,20180329,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201803290,KCA,4,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,5,yoste001,value,39,36,7,9,3,0,1,6,0,0,1,2,0,2,0,0,0,0,0,27,0,47,14,3,0,6,14,14,7,0,7,1,0,0,0,0,0,0,1,27,9,0,1,0,1,0,0,0,jay-j001,merrw001,mousm001,dudal001,cuthc001,solej001,gorda001,escoa003,buted001,duffd001,buted001,dudal001,merrw001,mousm001,escoa003,jay-j001,gorda001,solej001,cuthc001,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
LAN201803290,SFN,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,bochb002,value,36,34,1,8,2,0,1,1,0,0,0,2,0,11,0,0,1,0,0,27,0,36,6,0,0,0,0,0,5,0,10,0,1,0,0,0,2,0,0,27,11,0,2,0,0,1,2,0,jacka001,panij002,mccua001,poseb001,longe001,pench001,beltb001,crawb001,blact002,blact002,poseb001,beltb001,panij002,longe001,crawb001,pench001,jacka001,mccua001,,20180329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201803290,LAN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,robed001,value,36,31,0,6,0,0,0,0,0,0,0,5,0,10,2,0,2,0,0,27,0,36,8,2,0,1,1,1,2,0,11,0,0,0,0,0,0,0,0,27,9,0,1,0,0,0,0,0,taylc001,seagc001,puigy001,herne001,bellc002,kempm001,grany001,forsl001,kersc001,kersc001,grany001,bellc002,herne001,forsl001,seagc001,kempm001,taylc001,puigy001,,20180329,0,LOS03,h,SFN,0,1,0,regular,y,y
MIA201803290,CHN,3,1,0,1,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,9,maddj801,value,44,35,8,9,4,0,3,8,0,0,3,5,2,10,1,0,1,1,0,27,0,40,8,2,1,0,4,3,6,0,7,1,0,0,0,0,0,0,0,27,11,2,2,0,0,0,0,0,happi001,bryak001,rizza001,contw001,schwk001,russa002,heywj001,baezj001,lestj001,lestj001,contw001,rizza001,baezj001,bryak001,russa002,schwk001,happi001,heywj001,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,MIA,1,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,mattd001,value,40,33,4,8,2,1,0,4,0,0,1,6,0,7,0,0,2,0,0,27,0,44,9,4,0,3,8,7,5,2,10,3,0,0,0,0,1,0,0,27,6,2,1,0,0,0,1,0,brinl001,dietd001,casts001,bourj002,andeb006,coopg002,rojam002,wallc001,urenj001,urenj001,wallc001,bourj002,casts001,andeb006,rojam002,dietd001,brinl001,coopg002,,20180329,0,MIA02,h,CHN,0,1,0,regular,y,y
NYN201803290,SLN,0,2,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,3,mathm001,value,34,33,4,6,1,0,2,4,0,0,0,1,0,15,0,0,0,0,0,24,0,44,12,2,0,0,9,8,9,0,8,1,2,0,1,0,1,0,0,24,9,1,3,0,0,2,1,0,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,wongk001,martc006,martc006,moliy001,martj008,wongk001,carpm002,dejop001,ozunm001,phamt001,fowld001,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,NYN,1,2,0,0,5,0,0,1,,,,,,,,,,,,,,,,,,,,,11,callm001,value,44,33,9,12,2,0,0,8,1,0,1,9,0,8,1,0,3,0,1,27,0,34,6,1,0,2,4,4,1,0,15,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,nimmb001,cespy001,brucj001,cabra002,frazt001,gonza003,plawk001,syndn001,rosaa003,syndn001,plawk001,gonza003,cabra002,frazt001,rosaa003,cespy001,nimmb001,brucj001,,20180329,0,NYC20,h,SLN,1,0,0,regular,y,y
OAK201803290,ANA,0,2,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,9,sciom001,value,47,46,5,13,2,1,3,5,0,0,0,1,0,7,0,0,0,0,0,31,0,47,12,1,1,2,6,6,5,1,11,0,0,0,0,0,0,0,0,31,9,0,1,0,0,0,0,0,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,ohtas001,maldm001,richg002,maldm001,pujoa001,cozaz001,valbl001,simma001,uptoj001,troum001,calhk001,ohtas001,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,OAK,0,0,0,0,4,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,10,melvb001,value,47,42,6,12,1,1,2,6,0,0,0,5,1,11,0,0,1,0,0,33,0,47,13,2,1,3,5,5,1,0,7,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0,0,0,joycm001,semim001,lowrj001,davik003,olsom001,piscs001,chapm001,lucrj001,poweb002,gravk001,lucrj001,olsom001,lowrj001,chapm001,semim001,joycm001,poweb002,piscs001,davik003,20180329,0,OAK01,h,ANA,1,0,0,regular,y,y
SDN201803290,MIL,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,7,counc001,value,45,42,2,10,2,0,0,2,0,0,1,2,0,9,1,1,3,0,0,36,0,45,6,0,0,0,1,1,6,1,15,0,0,0,0,0,1,1,0,36,12,1,2,0,0,0,1,1,cainl001,yelic001,braur002,shawt001,santd002,pinam001,villj001,arcio002,andec001,andec001,pinam001,braur002,villj001,shawt001,arcio002,yelic001,cainl001,santd002,,20180329,0,SAN02,v,SDN,1,0,0,regular,y,y
SDN201803290,SDN,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,8,greea001,value,45,39,1,6,0,0,0,1,0,0,0,6,1,15,1,1,2,0,0,36,0,45,10,2,0,0,2,2,2,0,9,1,0,0,0,0,1,1,0,36,20,0,3,0,0,0,1,1,margm001,myerw001,hosme001,pirej001,asuac001,headc001,galvf001,hedga001,richc002,richc002,hedga001,hosme001,asuac001,headc001,galvf001,pirej001,margm001,myerw001,,20180329,0,SAN02,h,MIL,0,1,0,regular,y,y
SEA201803290,CLE,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,7,frant001,value,35,30,1,5,1,0,0,1,0,0,2,2,0,8,2,0,2,1,0,24,0,29,6,1,0,1,2,2,1,0,8,0,0,0,0,0,0,0,0,24,11,0,2,0,0,0,0,0,lindf001,kipnj001,ramij003,alony001,encae001,chisl001,gomey001,naqut001,zimmb001,klubc001,gomey001,alony001,kipnj001,ramij003,lindf001,naqut001,zimmb001,chisl001,encae001,20180329,0,SEA03,v,SEA,0,1,0,regular,y,y
SEA201803290,SEA,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,servs002,value,29,28,2,6,1,0,1,2,0,0,0,1,0,8,0,0,2,0,0,27,0,35,5,1,0,0,1,1,2,0,8,2,0,1,0,0,2,0,0,27,8,1,2,0,0,0,2,0,gordd002,seguj002,canor001,cruzn002,seagk001,hanim001,healr001,marjm001,suzui001,hernf002,marjm001,healr001,canor001,seagk001,seguj002,suzui001,gordd002,hanim001,cruzn002,20180329,0,SEA03,h,CLE,1,0,0,regular,y,y
TBA201803290,BOS,0,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,4,coraa001,value,35,33,4,8,4,0,1,4,0,0,0,2,0,6,0,0,0,0,0,24,0,35,4,1,1,0,6,6,7,0,11,0,0,0,0,0,0,0,1,24,6,0,0,0,1,0,0,0,bettm001,benia002,ramih003,martj006,bogax001,dever001,nunee002,bradj001,vazqc001,salec001,vazqc001,ramih003,nunee002,dever001,bogax001,benia002,bradj001,bettm001,martj006,20180329,0,STP01,v,TBA,0,1,0,regular,y,y
TBA201803290,TBA,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,5,cashk001,value,35,28,6,4,1,1,0,6,0,0,0,7,0,11,0,0,0,0,0,27,0,35,8,4,0,1,4,4,2,0,6,0,0,0,0,0,0,0,0,27,12,0,1,0,0,0,0,0,duffm002,kierk001,gomec002,cronc002,ramow001,spand001,hecha001,robed004,refsr001,archc001,ramow001,cronc002,robed004,duffm002,hecha001,spand001,kierk001,gomec002,refsr001,20180329,0,STP01,h,BOS,1,0,0,regular,y,y
TEX201803290,HOU,1,0,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,6,hinca001,value,37,30,4,6,2,0,2,4,0,1,0,6,0,13,0,0,2,0,0,27,0,34,6,1,0,0,1,1,2,0,9,1,1,0,0,0,0,0,0,27,5,0,1,0,0,1,0,0,sprig001,brega001,altuj001,corrc001,gonzm002,reddj001,gatte001,marij002,mccab002,verlj001,mccab002,gonzm002,altuj001,brega001,corrc001,reddj001,marij002,sprig001,gatte001,20180329,0,ARL02,v,TEX,1,0,0,regular,y,y
TEX201803290,TEX,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,6,banij001,value,34,31,1,6,1,0,0,0,0,0,1,2,0,9,0,0,1,0,0,27,0,37,6,2,0,2,4,4,6,0,13,0,0,0,0,1,0,0,0,27,7,0,2,0,0,0,0,0,deshd002,gallj002,andre001,belta001,mazan001,choos001,chirr001,odorr001,rua-r001,hamec001,chirr001,gallj002,odorr001,belta001,andre001,rua-r001,deshd002,mazan001,choos001,20180329,0,ARL02,h,HOU,0,1,0,regular,y,y
