gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI201403220,LAN,0,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,mattd001,value,37,33,3,5,2,0,1,3,0,0,1,3,0,11,0,0,0,0,2,27,0,35,5,1,0,0,1,1,2,0,10,0,1,0,0,0,0,0,0,27,13,1,0,0,0,1,0,0,puigy001,turnj001,ramih003,gonza003,vanss001,uribj002,ethia001,ellia001,kersc001,kersc001,ellia001,gonza003,turnj001,uribj002,ramih003,vanss001,ethia001,puigy001,,20140322,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403220,ARI,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,7,gibsk001,value,35,33,1,5,1,0,0,1,0,0,0,2,0,10,0,0,0,0,1,27,0,37,5,2,0,1,3,3,3,0,11,1,1,0,0,0,0,0,0,27,10,1,0,0,0,1,0,0,polla001,hilla001,goldp001,pradm001,trumm001,montm001,owinc001,parrg001,milew001,milew001,montm001,goldp001,hilla001,pradm001,owinc001,trumm001,polla001,parrg001,,20140322,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,LAN,1,0,2,0,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,13,mattd001,value,47,34,7,13,3,0,0,6,1,2,2,8,0,7,1,0,1,0,1,27,0,43,8,0,0,1,5,5,8,0,8,0,0,0,0,0,0,0,0,27,4,1,2,0,0,0,0,0,gordd002,puigy001,ramih003,gonza003,ethia001,ellia001,baxtm001,uribj002,ryu-h001,ryu-h001,ellia001,gonza003,gordd002,uribj002,ramih003,baxtm001,ethia001,puigy001,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,ARI,0,0,0,0,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,11,gibsk001,value,43,35,5,8,0,0,1,5,0,0,0,8,0,8,0,0,2,0,2,27,0,47,13,3,0,0,7,6,8,0,7,2,1,0,1,2,1,0,0,27,15,3,1,0,0,1,1,0,polla001,hilla001,goldp001,pradm001,montm001,trumm001,parrg001,gregd001,cahit001,cahit001,montm001,goldp001,hilla001,pradm001,gregd001,trumm001,polla001,parrg001,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
SDN201403300,LAN,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,mattd001,value,34,31,1,4,0,0,0,1,0,0,0,3,0,9,0,0,0,0,0,24,0,33,5,0,0,1,3,2,4,0,10,0,0,0,2,0,1,0,0,24,12,2,2,0,0,0,1,0,crawc002,puigy001,ramih003,gonza003,ethia001,uribj002,ellia001,gordd002,ryu-h001,ryu-h001,ellia001,gonza003,gordd002,uribj002,ramih003,crawc002,ethia001,puigy001,,20140330,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201403300,SDN,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,6,blacb001,value,33,27,3,5,0,0,1,3,2,0,0,4,0,10,1,0,2,0,2,27,0,34,4,0,0,0,1,1,3,0,9,0,1,0,0,0,0,0,0,27,10,0,0,0,0,1,0,0,cabre001,denoc001,headc001,gyorj001,alony001,medit001,venaw001,river003,casha001,casha001,river003,alony001,gyorj001,headc001,cabre001,medit001,venaw001,denoc001,,20140330,0,SAN02,h,LAN,1,0,0,regular,y,y
ANA201403310,SEA,0,1,0,0,0,1,2,0,6,,,,,,,,,,,,,,,,,,,,8,mccll001,value,45,36,10,11,4,2,1,10,0,1,0,8,1,11,1,1,0,0,1,27,0,36,6,1,0,1,3,2,1,0,13,1,2,0,0,0,1,0,0,27,5,1,0,0,0,2,1,0,almoa001,millb002,canor001,smoaj001,morrl001,seagk001,saunm001,ackld001,zunim001,hernf002,zunim001,smoaj001,canor001,seagk001,millb002,ackld001,almoa001,saunm001,morrl001,20140331,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201403310,ANA,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,sciom001,value,36,34,3,6,1,0,1,3,0,0,1,1,0,13,1,0,0,0,1,27,0,45,11,4,2,1,10,9,8,1,11,0,0,0,0,1,1,1,0,27,7,1,0,0,0,0,1,1,calhk001,troum001,pujoa001,hamij003,freed001,ibanr001,kendh001,iannc001,aybae001,weavj003,iannc001,pujoa001,kendh001,freed001,aybae001,hamij003,troum001,calhk001,ibanr001,20140331,0,ANA01,h,SEA,0,1,0,regular,y,y
ARI201403310,SFN,0,0,1,0,1,1,4,0,2,,,,,,,,,,,,,,,,,,,,5,bochb002,value,41,38,9,12,3,0,2,9,1,0,0,2,0,6,0,0,0,0,0,27,0,46,16,3,0,1,8,4,3,0,9,0,1,0,1,0,1,1,0,27,11,2,2,0,0,1,1,1,pagaa001,beltb001,sandp001,poseb001,pench001,morsm001,crawb001,ariaj001,bumgm001,bumgm001,poseb001,beltb001,ariaj001,sandp001,crawb001,morsm001,pagaa001,pench001,,20140331,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201403310,ARI,0,0,0,4,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,11,gibsk001,value,46,42,8,16,3,0,1,8,1,0,0,3,0,9,1,1,1,0,3,27,0,41,12,3,0,2,9,9,2,0,6,0,0,0,1,0,0,0,0,27,10,1,0,0,0,0,0,0,polla001,hilla001,goldp001,pradm001,trumm001,montm001,owinc001,parrg001,mccab001,mccab001,montm001,goldp001,hilla001,pradm001,owinc001,trumm001,polla001,parrg001,,20140331,0,PHO01,h,SFN,0,1,0,regular,y,y
