gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ANA202204070,HOU,0,0,1,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,8,baked002,value,38,35,3,8,4,0,2,3,0,0,0,3,1,10,1,0,0,0,0,27,0,31,4,0,1,0,1,1,1,0,7,1,0,0,0,0,0,0,0,27,13,1,3,0,0,0,0,0,altuj001,branm003,brega001,alvay001,gurry001,tuckk001,penaj004,mccoc001,maldm001,valdf001,maldm001,gurry001,altuj001,brega001,penaj004,alvay001,mccoc001,tuckk001,branm003,20220407,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA202204070,ANA,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,3,maddj801,value,31,29,1,4,0,1,0,1,0,0,1,1,0,7,0,0,3,0,1,27,0,38,8,4,0,2,3,3,3,1,10,0,0,0,0,0,1,0,0,27,10,0,0,0,0,0,1,0,ohtas001,troum001,renda001,duffm002,adelj001,walsj001,stasm001,marsb002,fletd002,ohtas001,stasm001,walsj001,duffm002,renda001,fletd002,adelj001,troum001,marsb002,ohtas001,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ARI202204070,SDN,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,melvb001,value,36,29,2,4,1,0,0,2,0,0,0,7,0,5,1,0,2,0,0,24,4,34,3,0,0,1,4,4,7,0,6,1,2,0,0,0,0,0,0,24,8,0,1,0,0,2,0,0,nolaa002,machm001,cronj001,voitl001,myerw001,hosme001,profj001,kim-h002,grist001,darvy001,nolaa002,hosme001,cronj001,machm001,kim-h002,profj001,grist001,myerw001,voitl001,20220407,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202204070,ARI,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,6,lovut001,value,34,26,4,3,0,0,1,3,0,0,1,7,0,6,0,0,1,0,0,27,0,36,4,1,0,0,2,2,7,0,5,0,0,0,0,0,1,0,0,27,9,0,2,0,0,0,1,0,varsd001,martk001,perad001,walkc002,smitp002,kellc002,beers001,ellid002,perdg001,bumgm001,kellc002,walkc002,martk001,ellid002,perdg001,perad001,varsd001,smitp002,beers001,20220407,0,PHO01,h,SDN,1,0,0,regular,y,y
ATL202204070,CIN,0,1,2,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,5,belld002,value,38,35,6,10,0,0,1,6,0,1,1,1,0,13,0,0,1,0,0,27,0,36,4,0,0,1,3,2,5,0,13,0,0,0,0,0,0,0,0,27,7,1,0,0,0,0,0,0,indij001,aquia001,phamt001,vottj001,stept001,senzn001,mousm001,farmk001,drurb001,mahlt001,stept001,vottj001,indij001,drurb001,farmk001,phamt001,senzn001,aquia001,mousm001,20220407,0,ATL03,v,ATL,1,0,0,regular,y,y
ATL202204070,ATL,0,0,1,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,6,snitb801,value,36,31,3,4,0,0,1,2,0,0,0,5,0,13,0,0,0,0,0,27,0,38,10,0,0,1,6,6,1,0,13,1,0,0,0,1,0,0,0,27,7,0,1,0,0,0,0,0,rosae001,olsom001,rilea001,ozunm001,albio001,duvaa001,darnt001,dicka001,swand001,friem001,darnt001,olsom001,albio001,rilea001,swand001,ozunm001,duvaa001,rosae001,dicka001,20220407,0,ATL03,h,CIN,0,1,0,regular,y,y
CHN202204070,MIL,0,0,0,1,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,9,counc001,value,40,33,4,10,4,0,0,4,0,2,1,4,0,9,1,0,2,0,0,24,0,35,8,3,0,1,5,5,4,0,7,1,0,0,0,1,0,1,0,24,10,0,1,0,0,0,0,1,wongk001,adamw002,yelic001,mccua001,tellr001,renfh001,narvo001,cainl001,petej002,burnc002,narvo001,tellr001,wongk001,petej002,adamw002,yelic001,cainl001,renfh001,mccua001,20220407,0,CHI11,v,CHN,0,1,0,regular,y,y
CHN202204070,CHN,0,0,0,0,3,0,2,0,,,,,,,,,,,,,,,,,,,,,6,rossd001,value,35,29,5,8,3,0,1,5,0,1,1,4,0,7,0,1,1,0,0,27,0,40,10,4,0,0,4,4,4,0,9,1,0,0,0,2,1,0,0,27,9,0,2,0,0,0,1,0,orter001,madrn001,contw001,happi001,schwf001,suzus001,heywj001,wisdp001,hoern001,hendk001,contw001,schwf001,madrn001,wisdp001,hoern001,happi001,heywj001,suzus001,orter001,20220407,0,CHI11,h,MIL,1,0,0,regular,y,y
KCA202204070,CLE,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,frant001,value,37,33,1,7,1,0,0,1,0,0,0,4,0,5,1,0,1,0,0,24,0,31,4,2,0,0,3,2,2,0,6,0,1,0,1,0,0,1,0,24,6,2,0,0,0,1,0,1,stram002,rosaa003,ramij003,reyef001,bradb002,chany001,kwans001,hedga001,gimea001,biebs001,hedga001,bradb002,chany001,ramij003,gimea001,rosaa003,stram002,kwans001,reyef001,20220407,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA202204070,KCA,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,4,mathm001,value,31,28,3,4,2,0,0,3,1,0,0,2,0,6,0,1,0,0,2,27,0,37,7,1,0,0,1,1,4,0,5,0,1,0,0,0,1,0,0,27,7,0,1,0,0,1,1,0,merrw001,wittb002,benia002,peres002,santc002,dozih001,mondr003,taylm002,lopen001,greiz001,peres002,santc002,lopen001,wittb002,mondr003,benia002,taylm002,merrw001,dozih001,20220407,0,KAN06,h,CLE,1,0,0,regular,y,y
SLN202204070,PIT,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,sheld801,value,32,30,0,6,0,0,0,0,0,0,0,2,0,9,0,1,2,0,0,24,0,41,8,2,0,3,9,9,7,0,5,1,0,0,0,2,1,0,0,24,7,2,1,0,0,0,1,0,voged001,reynb001,hayek001,tsuty001,newmk001,tuckc001,gameb001,perer003,parkh001,brubj001,perer003,tsuty001,parkh001,hayek001,newmk001,gameb001,reynb001,tuckc001,voged001,20220407,0,STL10,v,SLN,0,1,0,regular,y,y
