gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
ARI201803290,COL,ARI,PHO01,20180329,0,7:11PM,night,,,false,,216,48703,unknown,unknown,sunny,82,unknown,0,johnj701,,,cedeg901,coope901,blasc901,sches901,,,corbp001,grayj003,,regular,2,8,ARI,COL,y,both,y,y,y,2018
ATL201803290,PHI,ATL,ATL03,20180329,0,4:12PM,day,,,false,,208,40208,unknown,unknown,unknown,74,ltor,16,mustr701,,,laynj901,gibsg901,carav901,bakej902,,,vizca001,nerih001,,regular,5,8,ATL,PHI,y,both,y,y,y,2018
BAL201803290,MIN,BAL,BAL12,20180329,0,3:08PM,day,,,true,,211,45469,unknown,unknown,cloudy,65,rtol,7,hennj701,,,westj901,eddid901,fostm901,rippm901,,,bleir001,rodnf001,,regular,2,3,BAL,MIN,y,both,y,y,y,2018
KCA201803290,CHA,KCA,KAN06,20180329,0,3:16PM,day,,,true,,206,36517,unknown,unknown,overcast,45,ltor,10,boycd701,,,gormb901,iassd901,johna901,gibsh902,,,shiej002,duffd001,,regular,14,7,CHA,KCA,y,both,y,y,y,2018
LAN201803290,SFN,LAN,LOS03,20180329,0,4:08PM,day,,,false,,175,53595,unknown,unknown,sunny,73,torf,4,munse701,,,wegnm901,reynj901,dimum901,tumpj901,,,blact002,kersc001,strih001,regular,1,0,SFN,LAN,y,both,y,y,y,2018
MIA201803290,CHN,MIA,MIA02,20180329,0,12:43PM,day,,,false,,198,32151,unknown,unknown,cloudy,75,fromrf,16,jernr701,,,vanol901,wendh902,guccc901,torrc901,,,cishs001,urenj001,,regular,8,4,CHN,MIA,y,both,y,y,y,2018
NYN201803290,SLN,NYN,NYC20,20180329,0,1:16PM,day,,,false,,181,44189,unknown,unknown,unknown,50,rtol,9,sprej701,,,culbf901,onorb901,buckc901,conrc901,,,syndn001,martc006,,regular,4,9,NYN,SLN,y,both,y,y,y,2018
OAK201803290,ANA,OAK,OAK01,20180329,0,1:07PM,day,,,true,,242,27764,unknown,unknown,cloudy,73,torf,2,dybdc701,,,barrt901,barkl901,fairc901,littw901,,,hatcc002,ramin002,,regular,5,6,OAK,ANA,y,both,y,y,y,2018
SDN201803290,MIL,SDN,SAN02,20180329,0,1:12PM,day,,,false,,216,44649,unknown,unknown,sunny,69,torf,6,zaveb701,,,davig901,carlm901,knigb901,hobep901,,,jeffj001,cimba001,barnj002,regular,2,1,MIL,SDN,y,both,y,y,y,2018
SEA201803290,CLE,SEA,SEA03,20180329,0,7:10PM,night,,,true,,155,47149,unknown,unknown,unknown,55,fromcf,2,padud701,,,holbs901,marqa901,wolfj901,reybd901,,,hernf002,klubc001,diaze006,regular,1,2,SEA,CLE,y,both,y,y,y,2018
TBA201803290,BOS,TBA,STP01,20180329,0,4:00PM,day,,,true,,180,31042,dry,none,dome,72,unknown,0,mathb701,,,nelsj901,diazl901,fleta901,gonzm901,,,pruia001,smitc004,coloa001,regular,4,6,TBA,BOS,y,both,y,y,y,2018
TEX201803290,HOU,TEX,ARL02,20180329,0,2:40PM,day,,,true,,179,47253,unknown,unknown,cloudy,63,tocf,2,wells701,,,mealj901,kulpr901,hicke901,morag901,,,verlj001,hamec001,,regular,4,1,HOU,TEX,y,both,y,y,y,2018
TOR201803290,NYA,TOR,TOR02,20180329,0,4:09PM,day,,,true,,171,48115,dry,none,dome,68,unknown,0,lajor701,,,danlk901,nauep901,barrs901,rackd901,,,sevel001,happj001,,regular,6,1,NYA,TOR,y,both,y,y,y,2018
ARI201803300,COL,ARI,PHO01,20180330,0,6:40PM,night,,,false,,202,23937,unknown,unknown,cloudy,86,tocf,6,johnj701,,,coope901,blasc901,sches901,cedeg901,,,ray-r002,senza001,boxbb001,regular,8,9,ARI,COL,y,both,y,y,y,2018
ATL201803300,PHI,ATL,ATL03,20180330,0,7:35PM,night,,,false,,256,35123,unknown,unknown,cloudy,60,rtol,14,mustr701,,,gibsg901,carav901,bakej902,laynj901,,,hutcd001,carls002,,regular,5,4,PHI,ATL,y,both,y,y,y,2018
CIN201803300,WAS,CIN,CIN09,20180330,0,4:10PM,day,,,false,,189,43878,unknown,unknown,unknown,47,unknown,8,rothr701,,,kellj901,wolcq901,hudsm901,hoyej901,,,schem001,bailh001,dools001,regular,2,0,WAS,CIN,y,both,y,y,y,2018
DET201803300,PIT,DET,DET05,20180330,0,1:11PM,day,,,true,,327,42516,unknown,unknown,cloudy,39,ltor,11,marod701,,,everm901,welkb901,randt901,barrl901,,,braus002,wilsa001,,regular,13,10,PIT,DET,y,both,y,y,y,2018
LAN201803300,SFN,LAN,LOS03,20180330,0,7:10PM,night,,,false,,143,53478,unknown,unknown,unknown,62,tocf,3,munse701,,,reynj901,dimum901,tumpj901,wegnm901,,,watst001,jansk001,strih001,regular,1,0,SFN,LAN,y,both,y,y,y,2018
MIA201803300,CHN,MIA,MIA02,20180330,0,7:10PM,night,,,false,,318,12034,unknown,unknown,sunny,76,rtol,12,jernr701,,,wendh902,guccc901,torrc901,vanol901,,,despo001,butle001,,regular,1,2,MIA,CHN,y,both,y,y,y,2018
OAK201803300,ANA,OAK,OAK01,20180330,0,7:37PM,night,,,true,,168,27665,unknown,unknown,cloudy,70,torf,8,dybdc701,,,barkl901,fairc901,littw901,barrt901,,,skagt001,manas001,parkb001,regular,2,1,ANA,OAK,y,both,y,y,y,2018
