gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
OAK201903200,SEA,OAK,TOK01,20190320,0,6:36PM,night,,,true,,204,45787,dry,none,dome,72,unknown,0,feldd701,,,nelsj901,gibsh902,barkl901,muchm901,,,gonzm005,fierm001,strih001,regular,9,7,SEA,OAK,y,both,y,y,y,2019
OAK201903210,SEA,OAK,TOK01,20190321,0,6:35PM,night,,,true,,267,46451,dry,none,dome,70,unknown,0,feldd701,,,welkb901,barkl901,muchm901,nelsj901,,,rossz001,buchr001,strih001,regular,5,4,SEA,OAK,y,both,y,y,y,2019
CIN201903280,PIT,CIN,CIN09,20190328,0,4:11PM,day,,,false,,174,44049,unknown,unknown,cloudy,70,rtol,15,rothr701,,,westj901,coope901,fleta901,littw901,,,dukez001,tailj001,hernd002,regular,3,5,CIN,PIT,y,both,y,y,y,2019
KCA201903280,CHA,KCA,KAN06,20190328,0,5:01PM,night,,,true,,192,31675,unknown,unknown,cloudy,55,tocf,11,boycd701,,,mealj901,kulpr901,fostm901,morag901,,,kellb003,rodoc001,boxbb001,regular,3,5,KCA,CHA,y,both,y,y,y,2019
LAN201903280,ARI,LAN,LOS03,20190328,0,1:12PM,day,,,false,,169,53086,unknown,unknown,cloudy,69,tocf,7,whitj701,,,gormb901,barrs901,gibsh902,lentn901,,,ryu-h001,greiz001,,regular,5,12,LAN,ARI,y,both,y,y,y,2019
MIA201903280,COL,MIA,MIA02,20190328,0,4:12PM,day,,,false,,175,25423,unknown,unknown,dome,71,unknown,0,jernr701,,,davig901,gibsg901,knigb901,hobep901,,,freek001,urenj001,,regular,6,3,COL,MIA,y,both,y,y,y,2019
MIL201903280,SLN,MIL,MIL06,20190328,0,1:10PM,day,,,false,,156,45304,unknown,unknown,dome,66,unknown,0,odrit701,,,cedeg901,hudsm901,johna901,wolcq901,,,chacj001,mikom001,hadej001,regular,4,5,MIL,SLN,y,both,y,y,y,2019
MIN201903280,CLE,MIN,MIN04,20190328,0,3:17PM,day,,,true,,138,39519,unknown,unknown,cloudy,49,torf,14,trayk701,,,hallt901,cuzzp901,ticht901,hamaa901,,,berrj001,klubc001,roget001,regular,0,2,MIN,CLE,y,both,y,y,y,2019
NYA201903280,BAL,NYA,NYC21,20190328,0,1:12PM,day,,,true,,186,46928,unknown,unknown,sunny,48,rtol,12,sprej701,,,culbf901,nauep901,buckc901,reybd901,,,tanam001,casha001,,regular,2,7,NYA,BAL,y,both,y,y,y,2019
OAK201903280,ANA,OAK,OAK01,20190328,0,1:10PM,day,,,true,,138,22691,unknown,unknown,cloudy,61,torf,16,ducam701,,,everm901,welkb901,guccc901,barrl901,,,fierm001,cahit001,,regular,0,4,OAK,ANA,y,both,y,y,y,2019
