gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI201704020,SFN,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,9,bochb002,value,41,34,5,11,2,1,2,5,0,2,0,5,0,7,2,1,0,0,0,26,0,38,13,1,1,1,6,6,0,0,12,0,0,0,0,0,0,0,0,26,9,0,1,0,0,0,0,0,spand001,beltb001,pench001,poseb001,crawb001,nunee002,parkj002,panij002,bumgm001,bumgm001,poseb001,beltb001,panij002,nunee002,crawb001,parkj002,spand001,pench001,,20170402,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201704020,ARI,0,0,0,0,0,3,0,1,2,,,,,,,,,,,,,,,,,,,,6,lovut001,value,38,38,6,13,1,1,1,6,0,0,0,0,0,12,0,0,1,0,0,27,0,41,11,2,1,2,5,5,5,0,7,0,2,0,0,2,2,1,0,27,8,0,0,0,0,2,2,1,polla001,owinc001,goldp001,lambj001,tomay001,drurb001,perad001,mathj001,greiz001,greiz001,mathj001,goldp001,drurb001,lambj001,owinc001,tomay001,polla001,perad001,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
SLN201704020,CHN,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,6,maddj801,value,36,34,3,8,1,0,1,3,0,0,2,0,0,12,0,0,1,0,0,26,0,44,11,2,0,1,4,4,8,1,8,0,1,0,0,1,2,0,0,26,8,0,1,0,0,1,2,0,schwk001,bryak001,rizza001,zobrb001,russa002,heywj001,contw001,lestj001,baezj001,lestj001,contw001,rizza001,baezj001,bryak001,russa002,schwk001,heywj001,zobrb001,,20170402,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201704020,SLN,0,0,1,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,14,mathm001,value,44,35,4,11,2,0,1,4,0,1,0,8,1,8,2,0,1,0,0,27,0,36,8,1,0,1,3,3,0,0,12,2,0,0,0,0,0,0,0,27,5,0,1,0,0,0,0,0,fowld001,diaza003,carpm002,peraj001,moliy001,piscs001,gyorj001,gricr001,martc006,martc006,moliy001,carpm002,gyorj001,peraj001,diaza003,gricr001,fowld001,piscs001,,20170402,0,STL10,h,CHN,1,0,0,regular,y,y
TBA201704020,NYA,0,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,9,giraj001,value,39,36,3,9,1,0,0,3,0,1,1,1,0,8,0,0,0,0,1,24,0,40,13,2,0,2,7,7,3,0,10,0,1,0,0,1,1,0,0,24,5,1,0,0,0,1,1,0,gardb001,sancg002,birdg001,hollm001,ellsj001,casts001,headc001,judga001,torrr001,tanam001,sancg002,birdg001,casts001,headc001,torrr001,gardb001,ellsj001,judga001,hollm001,20170402,0,STP01,v,TBA,0,1,0,regular,y,y
TBA201704020,TBA,3,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9,cashk001,value,40,36,7,13,2,0,2,6,0,1,0,3,0,10,1,0,0,0,0,27,0,39,9,1,0,0,3,2,1,0,8,1,0,0,0,1,0,0,0,27,9,1,0,0,0,0,0,0,dickc002,kierk001,longe001,millb002,souzs001,morrl001,beckt001,smitm007,norrd001,archc001,norrd001,morrl001,millb002,longe001,beckt001,smitm007,kierk001,souzs001,dickc002,20170402,0,STP01,h,NYA,1,0,0,regular,y,y
BAL201704030,TOR,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,13,gibbj001,value,48,42,2,11,1,0,0,2,0,0,0,6,0,8,0,0,2,0,0,32,0,41,9,4,0,1,3,3,2,0,5,0,0,0,0,0,0,0,0,32,15,0,1,0,0,0,0,0,travd001,donaj001,bautj002,morak001,tulot001,martr004,pears001,pillk001,carre001,estrm001,martr004,pears001,travd001,donaj001,tulot001,carre001,pillk001,bautj002,morak001,20170403,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201704030,BAL,0,0,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,6,showb801,value,41,39,3,9,4,0,1,3,0,0,0,2,0,5,0,0,0,0,0,33,0,48,11,1,0,0,2,2,6,0,8,0,0,0,0,0,0,0,0,33,15,0,2,0,0,0,0,0,smits002,jonea003,machm001,davic003,trumm001,castw002,kim-h001,schoj001,hardj003,gausk001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,trumm001,20170403,0,BAL12,h,TOR,1,0,0,regular,y,y
BOS201704030,PIT,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,8,hurdc001,value,38,34,3,8,2,0,0,3,0,1,1,2,0,8,0,1,0,0,1,24,0,35,10,0,1,1,5,5,2,0,7,0,0,0,0,0,2,0,0,24,10,1,1,0,0,0,2,0,fraza001,marts002,mccua001,polag001,freed001,cervf001,bellj005,harrj002,mercj002,coleg001,cervf001,bellj005,harrj002,freed001,mercj002,fraza001,marts002,mccua001,polag001,20170403,0,BOS07,v,BOS,0,1,0,regular,y,y
BOS201704030,BOS,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,6,farrj001,value,35,33,5,10,0,1,1,5,0,0,0,2,0,7,2,0,1,0,0,27,0,38,8,2,0,0,3,3,2,0,8,1,1,0,0,1,0,1,0,27,9,1,0,0,0,1,0,1,pedrd001,benia002,bettm001,ramih003,morem001,bogax001,bradj001,sandp001,leons001,porcr001,leons001,morem001,pedrd001,sandp001,bogax001,benia002,bradj001,bettm001,ramih003,20170403,0,BOS07,h,PIT,1,0,0,regular,y,y
CIN201704030,PHI,2,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,9,mackp101,value,40,35,4,10,4,1,2,4,0,0,0,5,1,8,0,1,2,0,1,27,0,37,9,1,1,1,3,3,2,0,6,1,0,0,1,1,0,0,0,27,7,0,3,0,0,0,0,0,hernc005,kendh001,herro001,franm004,saunm001,joset001,ruppc001,galvf001,hellj001,hellj001,ruppc001,joset001,hernc005,franm004,galvf001,kendh001,herro001,saunm001,,20170403,0,CIN09,v,CIN,1,0,0,regular,y,y
CIN201704030,CIN,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,7,pricb801,value,37,32,3,9,1,1,1,3,1,1,1,2,0,6,0,0,2,0,1,27,0,40,10,4,1,2,4,4,5,1,8,0,1,0,0,0,0,1,0,27,8,1,2,0,0,1,0,1,hamib001,peraj003,vottj001,duvaa001,suare001,sches001,cozaz001,barnt001,felds001,felds001,barnt001,vottj001,peraj003,suare001,cozaz001,duvaa001,hamib001,sches001,,20170403,0,CIN09,h,PHI,0,1,0,regular,y,y
