gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
ARI201403220,LAN,ARI,SYD01,20140322,0,8:00PM,night,,,false,,169,38266,unknown,unknown,overcast,75,unknown,5,johnr701,,,welkt901,scotd901,diazl901,carlm901,,,kersc001,milew001,jansk001,regular,3,1,LAN,ARI,y,both,y,y,y,2014
ARI201403230,LAN,ARI,SYD01,20140323,0,1:14PM,day,,,false,,241,38079,unknown,unknown,cloudy,79,unknown,5,johnr701,,,scotd901,diazl901,carlm901,welkt901,,,ryu-h001,cahit001,,regular,7,5,LAN,ARI,y,both,y,y,y,2014
SDN201403300,LAN,SDN,SAN02,20140330,0,5:13PM,night,,,false,,169,45567,unknown,unknown,sunny,67,ltor,11,zaveb701,,,culbf901,gonzm901,reynj901,barbs901,,,thayd001,wilsb001,streh001,regular,1,3,SDN,LAN,y,both,y,y,y,2014
ANA201403310,SEA,ANA,ANA01,20140331,0,7:13PM,night,,,true,,197,44152,unknown,unknown,cloudy,60,tocf,9,munse701,,,westj901,fostm901,drakr901,porta901,,,hernf002,weavj003,,regular,10,3,SEA,ANA,y,both,y,y,y,2014
ARI201403310,SFN,ARI,PHO01,20140331,0,6:42PM,night,,,false,,205,48541,unknown,unknown,sunny,80,ltor,13,rausg701,,,hallt901,coope901,guccc901,hobep901,,,machj002,reeda001,romos001,regular,9,8,SFN,ARI,y,both,y,y,y,2014
BAL201403310,BOS,BAL,BAL12,20140331,0,3:14PM,day,,,true,,173,46685,unknown,unknown,sunny,60,rtol,19,hennj701,,,demud901,kulpr901,hicke901,barrl901,,,britz001,lestj001,huntt002,regular,1,2,BAL,BOS,y,both,y,y,y,2014
CHA201403310,MIN,CHA,CHI12,20140331,0,3:11PM,day,,,true,,155,37422,unknown,unknown,cloudy,65,rtol,22,frisd701,,,scotd901,iassd901,buckc901,gibsh902,,,salec001,nolar001,lindm001,regular,3,5,CHA,MIN,y,both,y,y,y,2014
CIN201403310,SLN,CIN,CIN09,20140331,0,4:11PM,day,,,false,,176,43134,unknown,unknown,cloudy,64,fromcf,9,rothr701,,,cedeg901,danlk901,barkl901,rippm901,,,waina001,cuetj001,roset001,regular,1,0,SLN,CIN,y,both,y,y,y,2014
DET201403310,KCA,DET,DET05,20140331,0,1:09PM,day,,,true,,181,45068,unknown,unknown,sunny,52,fromcf,4,klonc701,,,mealj901,emmep901,conrc901,bakej902,,,nathj001,daviw001,,regular,3,4,DET,KCA,y,both,y,y,y,2014
MIA201403310,COL,MIA,MIA02,20140331,0,7:13PM,night,,,false,,178,37116,unknown,unknown,overcast,74,fromcf,11,jernr701,,,laynj901,wendh902,dimum901,estam901,,,fernj003,delaj001,,regular,1,10,MIA,COL,y,both,y,y,y,2014
MIL201403310,ATL,MIL,MIL06,20140331,0,1:11PM,day,,,false,,165,45691,dry,none,dome,67,unknown,0,odrit701,,,barrt901,gibsg901,schrp901,littw901,,,gally001,tehej001,rodrf003,regular,0,2,MIL,ATL,y,both,y,y,y,2014
NYN201403310,WAS,NYN,NYC20,20140331,0,1:13PM,day,,,false,,227,42442,unknown,unknown,cloudy,44,fromlf,16,sprej701,,,welkt901,fagac901,timmt901,ticht901,,,barra001,famij001,,regular,9,7,WAS,NYN,y,both,y,y,y,2014
OAK201403310,CLE,OAK,OAK01,20140331,0,7:09PM,night,,,true,,195,36067,unknown,unknown,unknown,49,torf,12,dybdc701,,,wintm901,wegnm901,fleta901,muchm901,,,allec002,johnj010,axfoj001,regular,2,0,CLE,OAK,y,both,y,y,y,2014
PIT201403310,CHN,PIT,PIT08,20140331,0,1:14PM,day,,,false,,196,39833,unknown,unknown,sunny,54,tocf,2,krizt701,,,hirsj901,davib902,hoyej901,tumpj901,,,morrb002,villc001,,regular,0,1,PIT,CHN,y,both,y,y,y,2014
TBA201403310,TOR,TBA,STP01,20140331,0,4:11PM,day,,,true,,184,31042,dry,none,dome,72,unknown,0,clodt701,,,gormb901,welkb901,wolfj901,rackd901,,,pricd001,dickr001,,regular,2,9,TBA,TOR,y,both,y,y,y,2014
TEX201403310,PHI,TEX,ARL02,20140331,0,1:07PM,day,,,true,,216,49031,unknown,unknown,cloudy,74,rtol,18,ruddw701,,,joycj901,eddid901,hudsm901,blasc901,,,lee-c003,figup001,,regular,14,10,PHI,TEX,y,both,y,y,y,2014
ANA201404010,SEA,ANA,ANA01,20140401,0,7:10PM,night,,,true,,185,43567,unknown,unknown,cloudy,59,rtol,13,munse701,,,fostm901,drakr901,porta901,westj901,,,ramie004,wilsc004,,regular,8,3,SEA,ANA,y,both,y,y,y,2014
ARI201404010,SFN,ARI,PHO01,20140401,0,6:40PM,night,,,false,,166,18974,unknown,unknown,sunny,74,torf,10,rausg701,,,coope901,guccc901,hobep901,hallt901,,,milew001,gutij002,reeda001,regular,4,5,ARI,SFN,y,both,y,y,y,2014
HOU201404010,NYA,HOU,HOU03,20140401,0,6:13PM,night,,,true,,171,42117,unknown,unknown,unknown,78,tolf,15,blour701,,,davig901,cuzzp901,knigb901,wolcq901,,,felds001,sabac001,,regular,2,6,HOU,NYA,y,both,y,y,y,2014
MIA201404010,COL,MIA,MIA02,20140401,0,7:12PM,night,,,false,,144,15906,unknown,unknown,cloudy,74,fromlf,12,jernr701,,,wendh902,dimum901,estam901,laynj901,,,eovan001,andeb004,cishs001,regular,3,4,MIA,COL,y,both,y,y,y,2014
MIL201404010,ATL,MIL,MIL06,20140401,0,7:10PM,night,,,false,,154,21503,dry,none,dome,65,unknown,0,odrit701,,,gibsg901,schrp901,littw901,barrt901,,,wooda002,lohsk001,kimbc001,regular,5,2,ATL,MIL,y,both,y,y,y,2014
SDN201404010,LAN,SDN,SAN02,20140401,0,3:40PM,day,,,false,,218,35033,unknown,unknown,cloudy,62,ltor,10,zaveb701,,,gonzm901,reynj901,barbs901,culbf901,,,greiz001,kenni001,jansk001,regular,3,2,LAN,SDN,y,both,y,y,y,2014
TBA201404010,TOR,TBA,STP01,20140401,0,7:10PM,night,,,true,,212,11113,dry,none,dome,72,unknown,0,mathb701,,,welkb901,wolfj901,rackd901,gormb901,,,hutcd001,cobba001,sants001,regular,4,2,TOR,TBA,y,both,y,y,y,2014
TEX201404010,PHI,TEX,ARL02,20140401,0,7:05PM,night,,,true,,194,29530,unknown,unknown,unknown,79,rtol,14,wells701,,,eddid901,hudsm901,blasc901,joycj901,,,sorij001,hollm003,,regular,2,3,TEX,PHI,y,both,y,y,y,2014
ANA201404020,SEA,ANA,ANA01,20140402,0,7:06PM,night,,,true,,159,38007,unknown,unknown,sunny,57,ltor,15,munse701,,,drakr901,porta901,westj901,fostm901,,,paxtj001,santh001,,regular,8,2,SEA,ANA,y,both,y,y,y,2014
ARI201404020,SFN,ARI,PHO01,20140402,0,6:40PM,night,,,false,,169,19357,unknown,unknown,cloudy,65,unknown,11,rausg701,,,guccc901,hobep901,hallt901,coope901,,,hudst001,cahit001,romos001,regular,2,0,SFN,ARI,y,both,y,y,y,2014
BAL201404020,BOS,BAL,BAL12,20140402,0,7:07PM,night,,,true,,163,25708,unknown,unknown,sunny,61,tolf,3,jacom701,,,kulpr901,hicke901,barrl901,demud901,,,lackj001,jimeu001,,regular,6,2,BOS,BAL,y,both,y,y,y,2014
CHA201404020,MIN,CHA,CHI12,20140402,0,1:10PM,day,,,true,,259,10625,unknown,unknown,unknown,38,ltor,12,roseb701,,,iassd901,buckc901,gibsh902,scotd901,,,belir001,dedus001,,regular,6,7,CHA,MIN,y,both,y,y,y,2014
CIN201404020,SLN,CIN,CIN09,20140402,0,9:50PM,night,,,false,,165,36189,wet,rain,unknown,55,rtol,8,rothr701,,,danlk901,barkl901,rippm901,cedeg901,,,hoovj002,martc006,,regular,0,1,CIN,SLN,y,both,y,y,y,2014
DET201404020,KCA,DET,DET05,20140402,0,1:08PM,day,,,true,,202,26906,unknown,unknown,cloudy,47,tolf,6,klonc701,,,emmep901,conrc901,bakej902,mealj901,,,albua001,collt001,,regular,1,2,DET,KCA,y,both,y,y,y,2014
HOU201404020,NYA,HOU,HOU03,20140402,0,7:13PM,night,,,true,,198,23145,dry,none,dome,73,unknown,0,wilkt701,,,cuzzp901,knigb901,wolcq901,davig901,,,cosaj001,kuroh001,fielj002,regular,1,3,HOU,NYA,y,both,y,y,y,2014
MIA201404020,COL,MIA,MIA02,20140402,0,7:11PM,night,,,false,,203,15866,unknown,unknown,cloudy,76,fromcf,11,jernr701,,,dimum901,estam901,laynj901,wendh902,,,lylej001,alvah001,hawkl001,regular,6,5,COL,MIA,y,both,y,y,y,2014
