gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
KCA201604030,NYN,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,9,collt801,value,39,33,3,7,1,0,0,3,0,0,0,6,0,9,0,1,0,0,0,24,0,33,9,0,0,0,4,3,2,0,3,0,0,0,0,1,1,0,1,24,15,1,3,0,1,0,1,0,granc001,wrigd002,cespy001,dudal001,walkn001,confm001,cabra002,darnt001,lagaj001,harvm001,darnt001,dudal001,walkn001,wrigd002,cabra002,cespy001,lagaj001,granc001,confm001,20160403,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201604030,KCA,1,0,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,5,yoste001,value,33,30,4,9,0,0,0,4,0,1,0,2,0,3,1,0,3,0,1,27,0,39,7,1,0,0,3,3,6,0,9,0,0,0,0,0,0,1,0,27,13,0,0,0,0,0,0,1,escoa003,mousm001,cainl001,hosme001,morak001,gorda001,peres002,infao001,fuenr001,volqe001,peres002,hosme001,infao001,mousm001,escoa003,gorda001,cainl001,fuenr001,morak001,20160403,0,KAN06,h,NYN,1,0,0,regular,y,y
PIT201604030,SLN,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,10,mathm001,value,38,32,1,5,0,0,0,1,0,0,1,5,0,14,0,0,1,0,1,24,0,36,9,2,1,0,4,4,5,0,5,1,0,0,1,1,0,1,0,24,11,0,2,0,0,0,0,1,carpm002,phamt001,hollm001,gricr001,piscs001,moliy001,wongk001,gyorj001,waina001,waina001,moliy001,hollm001,wongk001,carpm002,gyorj001,phamt001,gricr001,piscs001,,20160403,0,PIT08,v,PIT,0,1,0,regular,y,y
PIT201604030,PIT,0,2,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,8,hurdc001,value,36,28,4,9,2,1,0,4,1,1,1,5,0,5,0,1,1,0,0,27,0,38,5,0,0,0,1,1,5,0,14,1,0,0,0,0,0,0,0,27,8,1,1,0,0,0,0,0,jasoj001,mccua001,freed001,marts002,cervf001,polag001,harrj002,mercj002,lirif001,lirif001,cervf001,jasoj001,harrj002,freed001,mercj002,marts002,mccua001,polag001,,20160403,0,PIT08,h,SLN,1,0,0,regular,y,y
TBA201604030,TOR,2,0,0,1,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,6,gibbj001,value,38,35,5,7,1,0,1,5,0,0,0,3,0,16,0,0,0,0,1,27,0,36,7,1,0,1,3,3,1,0,7,0,1,0,0,0,0,1,0,27,15,2,0,0,0,1,0,1,pillk001,donaj001,bautj002,encae001,tulot001,colac001,saunm001,martr004,goinr001,strom001,martr004,colac001,goinr001,donaj001,tulot001,saunm001,pillk001,bautj002,encae001,20160403,0,STP01,v,TBA,1,0,0,regular,y,y
TBA201604030,TBA,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,6,cashk001,value,36,35,3,7,1,0,1,3,0,0,0,1,0,7,0,1,0,0,2,27,0,38,7,1,0,1,5,4,3,0,16,0,1,0,0,0,0,0,0,27,8,1,0,0,0,1,0,0,forsl001,morrl001,longe001,dickc002,jennd002,millb002,souzs001,kierk001,congh001,archc001,congh001,morrl001,forsl001,longe001,millb002,jennd002,kierk001,souzs001,dickc002,20160403,0,STP01,h,TOR,0,1,0,regular,y,y
ANA201604040,CHN,1,0,0,2,0,2,1,0,3,,,,,,,,,,,,,,,,,,,,8,maddj801,value,44,37,9,11,3,0,1,9,0,0,0,7,1,12,0,0,1,0,1,27,0,30,3,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,27,9,0,1,0,0,0,0,0,fowld001,heywj001,zobrb001,rizza001,bryak001,schwk001,solej001,montm001,russa002,arrij001,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,solej001,20160404,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201604040,ANA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,sciom001,value,30,29,0,3,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,27,0,44,11,3,0,1,9,9,7,1,12,0,0,0,0,0,0,0,0,27,8,1,1,0,0,0,0,0,escoy001,navad002,troum001,pujoa001,calhk001,cronc002,simma001,perec003,giavj001,richg002,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,pujoa001,20160404,0,ANA01,h,CHN,0,1,0,regular,y,y
ARI201604040,COL,0,0,6,1,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,10,weisw001,value,47,42,10,15,4,0,4,10,0,0,1,4,0,7,1,0,0,0,0,27,0,42,12,2,0,1,5,5,3,0,13,0,1,0,0,0,0,0,0,27,7,0,1,0,0,1,0,0,blacc001,stort001,gonzc001,arenn001,parrg001,reynm001,hundn001,lemad001,delaj001,delaj001,hundn001,reynm001,lemad001,arenn001,stort001,parrg001,blacc001,gonzc001,,20160404,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201604040,ARI,0,1,0,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,10,halec001,value,42,39,5,12,2,0,1,5,0,0,0,3,0,13,0,0,0,0,1,27,0,47,15,4,0,4,10,10,4,0,7,1,1,0,0,0,1,0,0,27,8,0,0,0,0,1,1,0,seguj002,owinc001,goldp001,castw002,perad001,tomay001,lambj001,greiz001,ahmen001,greiz001,castw002,goldp001,seguj002,lambj001,ahmen001,tomay001,owinc001,perad001,,20160404,0,PHO01,h,COL,0,1,0,regular,y,y
ATL201604040,WAS,1,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,9,baked002,value,43,37,4,8,1,0,2,4,0,1,0,5,0,11,1,1,1,0,2,30,0,38,4,0,0,2,3,3,5,0,11,1,0,0,0,0,0,0,0,30,7,0,2,0,0,0,0,0,reveb001,renda001,harpb003,zimmr001,murpd006,wertj001,ramow001,espid001,schem001,schem001,ramow001,zimmr001,murpd006,renda001,espid001,wertj001,reveb001,harpb003,,20160404,0,ATL02,v,ATL,1,0,0,regular,y,y
ATL201604040,ATL,1,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,5,gonzf801,value,38,32,3,4,0,0,2,3,0,0,1,5,0,11,0,0,1,0,0,30,0,43,8,1,0,2,4,3,5,0,11,0,1,0,0,1,1,1,0,30,11,2,1,0,0,1,1,1,incie001,aybae001,freef001,garca004,markn001,olivh001,piera001,petej002,tehej001,tehej001,piera001,freef001,petej002,garca004,aybae001,olivh001,incie001,markn001,,20160404,0,ATL02,h,WAS,0,1,0,regular,y,y
BAL201604040,MIN,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,6,molip001,value,35,33,2,7,3,0,0,2,0,1,1,0,0,10,0,0,0,0,0,26,0,41,10,3,0,0,3,3,5,0,10,0,1,0,0,0,1,0,0,26,5,0,0,0,0,1,1,0,dozib001,mauej001,sanom001,plout001,rosae001,parkb002,escoe001,suzuk001,buxtb001,sante001,suzuk001,mauej001,dozib001,plout001,escoe001,rosae001,buxtb001,sanom001,parkb002,20160404,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201604040,BAL,0,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,12,showb801,value,41,36,3,10,3,0,0,3,0,0,0,5,0,10,1,0,0,0,0,27,0,35,7,3,0,0,2,2,0,0,10,1,0,0,0,1,0,0,0,27,6,0,0,0,0,0,0,0,machm001,jonea003,davic003,trumm001,wietm001,alvap001,hardj003,schoj001,rickj001,tillc001,wietm001,davic003,schoj001,machm001,hardj003,rickj001,jonea003,trumm001,alvap001,20160404,0,BAL12,h,MIN,1,0,0,regular,y,y
CIN201604040,PHI,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,mackp101,value,34,33,2,6,1,0,1,2,0,0,0,1,0,10,0,0,0,0,0,24,0,33,6,3,0,0,6,5,3,0,7,1,0,0,0,1,0,0,0,24,11,2,1,0,0,0,0,0,hernc005,herro001,franm004,howar001,ruizc001,huntc001,bourp001,galvf001,hellj001,hellj001,ruizc001,howar001,hernc005,franm004,galvf001,huntc001,herro001,bourp001,,20160404,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN201604040,CIN,1,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,3,pricb801,value,33,28,6,6,3,0,0,5,0,1,1,3,0,7,0,0,1,0,1,27,0,34,6,1,0,1,2,2,1,0,10,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,cozaz001,suare001,vottj001,philb001,brucj001,mesod001,duvaa001,igler001,hamib001,igler001,mesod001,vottj001,philb001,suare001,cozaz001,duvaa001,hamib001,brucj001,,20160404,0,CIN09,h,PHI,1,0,0,regular,y,y
MIL201604040,SFN,0,2,2,1,2,0,0,5,0,,,,,,,,,,,,,,,,,,,,7,bochb002,value,46,40,12,15,3,0,4,12,0,1,0,5,0,3,1,0,1,0,1,27,0,37,8,0,0,2,3,3,5,0,10,0,1,0,0,0,0,0,0,27,8,0,1,0,0,1,0,0,spand001,panij002,poseb001,pench001,beltb001,duffm002,crawb001,bumgm001,pagaa001,bumgm001,poseb001,beltb001,panij002,duffm002,crawb001,pagaa001,spand001,pench001,,20160404,0,MIL06,v,MIL,1,0,0,regular,y,y
MIL201604040,MIL,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,counc001,value,37,32,3,8,0,0,2,3,0,0,0,5,0,10,0,0,1,0,0,27,0,46,15,3,0,4,12,11,5,0,3,0,0,0,0,1,1,0,0,27,14,1,1,0,0,0,1,0,santd002,villj001,braur002,lucrj001,cartc002,hilla001,genns001,peraw001,broxk001,peraw001,lucrj001,cartc002,genns001,hilla001,villj001,braur002,broxk001,santd002,,20160404,0,MIL06,h,SFN,0,1,0,regular,y,y
OAK201604040,CHA,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,ventr001,value,36,33,4,7,1,1,0,2,0,0,2,1,0,6,0,2,0,0,1,27,0,36,7,2,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,27,9,1,0,0,0,0,0,0,eatoa002,rollj001,abrej003,frazt001,cabrm002,garca003,lawrb002,navad001,jacka001,salec001,navad001,abrej003,lawrb002,frazt001,rollj001,cabrm002,jacka001,eatoa002,garca003,20160404,0,OAK01,v,OAK,1,0,0,regular,y,y
OAK201604040,OAK,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,melvb001,value,36,33,3,7,2,0,0,3,0,0,0,3,0,10,0,0,0,0,0,27,0,36,7,1,1,0,4,2,1,0,6,2,0,0,0,0,0,2,0,27,12,2,0,0,0,0,0,2,burnb002,lowrj001,reddj001,valed001,davik003,butlb003,canhm001,vogts001,semim001,hillr001,vogts001,canhm001,lowrj001,valed001,semim001,davik003,burnb002,reddj001,butlb003,20160404,0,OAK01,h,CHA,0,1,0,regular,y,y
SDN201604040,LAN,2,0,1,0,0,5,3,4,0,,,,,,,,,,,,,,,,,,,,7,robed001,value,49,42,15,17,7,1,0,13,0,1,2,4,0,10,0,0,0,0,0,27,0,33,4,1,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,utlec001,seagc001,turnj001,gonza003,puigy001,crawc002,pedej001,ellia001,kersc001,kersc001,ellia001,gonza003,utlec001,turnj001,seagc001,crawc002,pedej001,puigy001,,20160404,0,SAN02,v,SDN,1,0,0,regular,y,y
SDN201604040,SDN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,greea001,value,33,31,0,4,1,0,0,0,0,0,0,2,0,10,0,0,0,0,0,27,0,49,17,7,1,0,15,14,4,0,10,2,2,0,0,1,0,0,0,27,10,2,0,0,0,2,0,0,jay-j001,norrd001,kempm001,myerw001,ramia003,solay001,uptob001,spanc001,rosst001,rosst001,norrd001,myerw001,spanc001,solay001,ramia003,uptob001,jay-j001,kempm001,,20160404,0,SAN02,h,LAN,0,1,0,regular,y,y
TBA201604040,TOR,0,0,1,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,gibbj001,value,36,33,5,7,1,0,3,5,0,1,0,2,0,9,0,0,0,0,0,27,0,39,8,1,0,1,3,3,4,0,9,0,1,0,0,0,1,0,0,27,8,1,0,0,0,1,1,0,pillk001,donaj001,bautj002,encae001,tulot001,colac001,saunm001,goinr001,tholj001,dickr001,tholj001,colac001,goinr001,donaj001,tulot001,saunm001,pillk001,bautj002,encae001,20160404,0,STP01,v,TBA,1,0,0,regular,y,y
TBA201604040,TBA,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,9,cashk001,value,39,35,3,8,1,0,1,2,0,0,0,4,0,9,1,0,0,0,0,27,0,36,7,1,0,3,5,5,2,0,9,0,1,0,0,1,0,0,0,27,6,0,0,0,0,1,0,0,forsl001,morrl001,longe001,dickc002,jennd002,millb002,souzs001,kierk001,casac001,smyld001,casac001,morrl001,forsl001,longe001,millb002,jennd002,kierk001,souzs001,dickc002,20160404,0,STP01,h,TOR,0,1,0,regular,y,y
TEX201604040,SEA,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,servs002,value,34,30,2,4,0,0,2,2,0,0,1,3,0,11,0,0,1,0,1,24,0,34,1,0,0,0,3,1,6,0,10,1,0,0,0,0,1,0,0,24,10,2,0,0,0,0,1,0,aokin001,martk001,canor001,cruzn002,seagk001,gutif001,linda001,iannc001,martl004,hernf002,iannc001,linda001,canor001,seagk001,martk001,aokin001,martl004,cruzn002,gutif001,20160404,0,ARL02,v,TEX,0,1,0,regular,y,y
TEX201604040,TEX,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,7,banij001,value,34,27,3,1,0,0,0,3,0,0,1,6,0,10,1,0,0,0,2,27,0,34,4,0,0,2,2,2,3,0,11,1,1,0,0,0,0,0,0,27,13,1,1,0,0,1,0,0,deshd002,choos001,fielp001,belta001,morem001,desmi001,odorr001,andre001,chirr001,hamec001,chirr001,morem001,odorr001,belta001,andre001,desmi001,deshd002,choos001,fielp001,20160404,0,ARL02,h,SEA,1,0,0,regular,y,y
ANA201604050,CHN,0,0,4,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,3,maddj801,value,36,36,6,9,1,0,3,6,0,0,0,0,0,9,0,0,0,0,0,27,0,32,4,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,27,13,1,0,0,0,0,0,0,fowld001,heywj001,bryak001,rizza001,zobrb001,solej001,russa002,szczm001,rossd001,lestj001,rossd001,rizza001,zobrb001,bryak001,russa002,szczm001,fowld001,heywj001,solej001,20160405,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201604050,ANA,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,4,sciom001,value,32,32,1,4,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,27,0,36,9,1,0,3,6,6,0,0,9,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,escoy001,gentc001,troum001,pujoa001,cronc002,calhk001,simma001,perec003,giavj001,heana001,perec003,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,pujoa001,20160405,0,ANA01,h,CHN,0,1,0,regular,y,y
ARI201604050,COL,0,0,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,weisw001,value,36,35,6,9,2,0,3,6,0,0,0,1,0,2,0,0,1,0,0,24,0,44,15,3,2,2,11,11,4,0,8,1,0,0,0,1,0,0,0,24,5,0,0,0,0,0,0,0,blacc001,stort001,gonzc001,arenn001,parrg001,hundn001,paulb001,lemad001,bettc001,bettc001,hundn001,paulb001,lemad001,arenn001,stort001,parrg001,blacc001,gonzc001,,20160405,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201604050,ARI,1,0,1,0,0,3,6,0,,,,,,,,,,,,,,,,,,,,,9,halec001,value,44,38,11,15,3,2,2,11,0,1,1,4,0,8,0,0,0,0,0,27,0,36,9,2,0,3,6,6,1,0,2,0,1,0,0,0,0,0,0,27,13,0,1,0,0,1,0,0,seguj002,brits001,goldp001,perad001,castw002,lambj001,tomay001,mills001,ahmen001,mills001,castw002,goldp001,seguj002,lambj001,ahmen001,tomay001,brits001,perad001,,20160405,0,PHO01,h,COL,1,0,0,regular,y,y
CLE201604050,BOS,0,0,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,10,farrj001,value,43,37,6,11,1,0,2,5,0,0,0,6,1,8,0,1,1,0,1,27,0,35,5,0,0,0,2,2,3,0,15,0,0,0,0,1,0,0,0,27,6,0,0,0,0,0,0,0,bettm001,pedrd001,bogax001,ortid001,ramih003,shawt001,holtb002,swihb001,bradj001,pricd001,swihb001,ramih003,pedrd001,shawt001,bogax001,holtb002,bradj001,bettm001,ortid001,20160405,0,CLE08,v,CLE,1,0,0,regular,y,y
CLE201604050,CLE,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,frant001,value,35,31,2,5,0,0,0,2,0,1,0,3,0,15,0,0,0,0,0,27,0,43,11,1,0,2,6,6,6,1,8,0,1,0,0,0,0,1,0,27,8,1,1,0,0,1,0,1,davir003,kipnj001,lindf001,napom001,santc002,gomey001,byrdm001,uribj002,cowgc001,klubc001,gomey001,napom001,kipnj001,uribj002,lindf001,byrdm001,davir003,cowgc001,santc002,20160405,0,CLE08,h,BOS,0,1,0,regular,y,y
KCA201604050,NYN,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,collt801,value,38,33,2,6,0,0,1,2,0,0,0,5,0,9,2,0,0,0,0,27,0,32,3,1,1,0,0,0,1,0,12,0,1,0,0,0,1,0,0,27,11,0,0,0,0,1,1,0,granc001,wrigd002,cespy001,dudal001,walkn001,confm001,cabra002,darnt001,deaza001,syndn001,darnt001,dudal001,walkn001,wrigd002,cabra002,deaza001,cespy001,granc001,confm001,20160405,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201604050,KCA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,yoste001,value,32,31,0,3,1,1,0,0,0,0,0,1,0,12,1,0,0,0,1,27,0,38,6,0,0,1,2,2,5,0,9,0,0,0,0,0,2,0,0,27,4,0,0,0,0,0,2,0,escoa003,mousm001,cainl001,hosme001,morak001,gorda001,peres002,infao001,fuenr001,younc003,peres002,hosme001,infao001,mousm001,escoa003,gorda001,cainl001,fuenr001,morak001,20160405,0,KAN06,h,NYN,0,1,0,regular,y,y
MIA201604050,DET,1,3,0,0,1,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,6,ausmb001,value,47,41,8,12,2,0,3,8,1,1,0,4,0,6,0,1,1,0,1,33,0,46,10,4,1,1,7,7,3,1,10,0,0,0,0,2,0,0,0,33,8,1,0,0,0,0,0,0,kinsi001,uptoj001,cabrm001,martj006,castn001,mccaj001,iglej001,gosea001,verlj001,verlj001,mccaj001,cabrm001,kinsi001,castn001,iglej001,uptoj001,gosea001,martj006,,20160405,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201604050,MIA,0,0,0,0,0,3,0,1,3,0,0,,,,,,,,,,,,,,,,,,6,mattd001,value,46,41,7,10,4,1,1,7,0,2,0,3,1,10,0,0,0,0,0,33,0,47,12,2,0,3,8,8,4,0,6,0,0,0,1,1,0,1,0,33,14,2,1,0,0,0,0,1,gordd002,ozunm001,yelic001,stanm004,pradm001,bourj002,realj001,hecha001,chenw001,chenw001,realj001,bourj002,gordd002,pradm001,hecha001,yelic001,ozunm001,stanm004,,20160405,0,MIA02,h,DET,0,1,0,regular,y,y
