id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
abboc001,Abbott,Cory,R,R,WAS,16,16,9,7,0,0,0,0,0,0,0,0,0,0,0,0,20220619,20221004
abrac001,Abrams,CJ,L,R,SDN,46,0,0,0,0,0,13,0,32,0,0,3,3,2,3,2,20220408,20220801
abrac001,Abrams,CJ,L,R,WAS,44,0,0,0,0,0,0,0,43,0,0,0,0,0,0,1,20220815,20221004
abrea001,Abreu,Albert,R,R,KCA,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20220605,20220612
abrea001,Abreu,Albert,R,R,NYA,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,20220623,20221005
abrea001,Abreu,Albert,R,R,TEX,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20220411,20220528
abreb002,Abreu,Bryan,R,R,HOU,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,20220408,20221105
abrej003,Abreu,Jose,R,R,CHA,157,0,0,0,0,128,0,0,0,0,0,0,0,29,0,0,20220408,20221004
acevd001,Acevedo,Domingo,R,R,OAK,70,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,20220408,20221004
acunr001,Acuna,Ronald,R,R,ATL,123,0,0,0,0,0,0,0,0,0,1,96,96,27,4,0,20220428,20221015
acunr001,Acuna,Ronald,R,R,NLS,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20220719,20220719
adama002,Adams,Austin,R,R,SDN,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20220410,20220412
adamj002,Adam,Jason,R,R,TBA,68,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0,20220410,20221008
adamr004,Adams,Riley,R,R,WAS,48,0,0,0,44,1,0,0,0,0,0,0,0,2,3,0,20220409,20221004
adamw002,Adames,Willy,R,R,MIL,139,0,0,0,0,0,0,0,136,0,0,0,0,2,1,0,20220407,20221005
adelj001,Adell,Jo,R,R,ANA,88,0,0,0,0,0,0,0,0,69,0,15,84,1,13,1,20220407,20221005
adonj001,Adon,Joan,R,R,WAS,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,20220409,20220707
adrie001,Adrianza,Ehire,B,R,ATL,6,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,20220806,20221005
adrie001,Adrianza,Ehire,B,R,WAS,31,1,0,1,0,0,4,18,2,9,0,0,9,1,5,0,20220607,20220731
aguij001,Aguilar,Jesus,R,R,BAL,16,0,0,0,0,6,0,0,0,0,0,0,0,8,3,0,20220901,20221005
aguij001,Aguilar,Jesus,R,R,MIA,113,0,0,0,0,57,0,4,0,0,0,0,0,52,7,0,20220408,20220824
aguir002,Aguilar,Ryan,L,L,ANA,7,0,0,0,0,1,0,0,0,2,1,5,7,0,0,0,20220826,20220905
ahmen001,Ahmed,Nick,R,R,ARI,17,0,0,0,0,0,0,0,16,0,0,0,0,1,2,0,20220422,20220515
akink001,Akin,Keegan,L,L,BAL,45,45,1,44,0,0,0,0,0,0,0,0,0,0,0,0,20220409,20221005
albeh001,Alberto,Hanser,R,R,LAN,73,10,0,10,0,3,37,20,5,0,0,1,1,5,17,1,20220410,20221005
albio001,Albies,Ozzie,B,R,ATL,64,0,0,0,0,0,64,0,0,0,0,0,0,0,1,0,20220407,20220917
alcaj001,Alcala,Jorge,R,R,MIN,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20220408,20220410
alcas001,Alcantara,Sandy,R,R,MIA,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,20220408,20220930
alcas001,Alcantara,Sandy,R,R,NLS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20220719,20220719
alcas002,Alcantara,Sergio,B,R,ARI,71,0,0,0,0,0,18,35,20,0,0,0,0,4,3,7,20220407,20221005
alcas002,Alcantara,Sergio,B,R,SDN,22,0,0,0,0,0,7,6,8,0,0,0,0,1,1,3,20220515,20220629
alexa001,Alexy,A. J.,R,R,TEX,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20220715,20220912
alexj001,Alexander,Jason,R,R,MIL,18,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,20220601,20220918
alexs001,Alexander,Scott,L,L,SFN,17,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,20220828,20221002
alext001,Alexander,Tyler,R,L,DET,27,27,17,10,0,0,0,0,0,0,0,0,0,0,0,0,20220412,20221005
alfaj002,Alfaro,Jorge,R,R,SDN,82,0,0,0,65,0,0,0,0,0,0,0,0,10,10,0,20220408,20221005
alfoa002,Alford,Anthony,R,R,PIT,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,20220422,20220423
allak001,Allard,Kolby,L,L,TEX,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20220412,20221004
alldc001,Alldred,Cam,L,L,PIT,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20220512,20220512
allea001,Allen,Austin,L,R,OAK,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,20220410,20220430
alleg002,Allen,Greg,B,R,PIT,46,0,0,0,0,0,0,0,0,23,11,13,43,1,5,6,20220723,20220924
allel002,Allen,Logan,R,L,BAL,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20220511,20220515
allel002,Allen,Logan,R,L,CLE,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20220411,20220427
allen002,Allen,Nick,R,R,OAK,100,0,0,0,0,0,43,0,60,0,0,0,0,0,1,0,20220419,20221005
almoa001,Almonte,Abraham,B,R,BOS,15,0,0,0,0,0,0,0,0,3,5,1,9,2,6,1,20220907,20221005
almoa002,Almora,Albert,R,R,CIN,64,0,0,0,0,0,0,0,0,17,23,28,62,1,1,1,20220505,20220906
almoy001,Almonte,Yency,R,R,LAN,36,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,20220512,20221015
alonp001,Alonso,Pete,R,R,NLS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20220719,20220719
alonp001,Alonso,Pete,R,R,NYN,163,0,0,0,0,137,0,0,0,0,0,0,0,27,0,0,20220407,20221009
altuj001,Altuve,Jose,R,R,HOU,154,0,0,0,0,0,148,0,0,0,0,0,0,2,4,0,20220407,20221105
alvae001,Alvarez,Eddy,L,R,LAN,14,0,0,0,0,0,0,5,1,1,0,5,6,2,2,2,20220604,20220629
alvaf001,Alvarez,Francisco,R,R,NYN,6,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,20220930,20221007
alvaj003,Alvarez,Jose,L,L,SFN,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,20220408,20220611
alvaj004,Alvarado,Jose,L,L,PHI,71,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,20220409,20221105
alvar001,Alvarez,R. J.,R,R,NYN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20220816,20220816
alvay001,Alvarez,Yordan,L,R,HOU,148,0,0,0,0,0,0,0,0,66,0,0,66,80,2,0,20220407,20221105
alzoa001,Alzolay,Adbert,R,R,CHN,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20220917,20221005
andeb006,Anderson,Brian,R,R,MIA,98,0,0,0,0,0,1,48,0,8,0,36,44,9,6,0,20220408,20221004
andec001,Anderson,Chase,R,R,CIN,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,20220829,20221005
andei001,Anderson,Ian,R,R,ATL,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20220410,20220813
andes002,Anderson,Shaun,R,R,TOR,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20220627,20220627
andet001,Anderson,Tim,R,R,ALS,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20220719,20220719
andet001,Anderson,Tim,R,R,CHA,79,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,20220410,20220806
andet002,Anderson,Tyler,L,L,LAN,32,31,29,2,0,0,0,0,0,0,0,0,0,0,1,0,20220409,20221015
andre001,Andrus,Elvis,R,R,CHA,43,0,0,0,0,0,0,0,42,0,0,0,0,1,0,0,20220819,20221005
andre001,Andrus,Elvis,R,R,OAK,106,0,0,0,0,0,0,0,101,0,0,0,0,3,4,1,20220408,20220816
andum001,Andujar,Miguel,R,R,NYA,27,0,0,0,0,1,0,0,0,19,0,0,19,8,2,0,20220429,20220917
andum001,Andujar,Miguel,R,R,PIT,9,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,20220926,20221005
appem001,Appel,Mark,R,R,PHI,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20220629,20220802
aquia001,Aquino,Aristides,R,R,CIN,80,0,0,0,0,0,0,0,0,7,2,69,78,1,4,2,20220407,20221003
aranj001,Aranda,Jonathan,L,R,TBA,32,0,0,0,0,11,13,6,0,1,0,0,1,2,8,0,20220624,20221005
aranv001,Arano,Victor,R,R,WAS,43,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,20220407,20220901
arauj001,Arauz,Jonathan,B,R,BAL,9,0,0,0,0,0,1,6,1,0,0,0,0,0,1,0,20220625,20220725
arauj001,Arauz,Jonathan,B,R,BOS,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,20220408,20220609
archc001,Archer,Chris,R,R,MIN,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,20220412,20220910
arcio002,Arcia,Orlando,R,R,ATL,72,1,0,1,0,0,54,4,1,6,0,0,6,7,3,0,20220408,20221015
arenn001,Arenado,Nolan,R,R,SLN,150,0,0,0,0,0,0,133,0,0,0,0,0,17,1,0,20220407,20221008
ariag002,Arias,Gabriel,R,R,CLE,19,0,0,0,0,4,3,9,3,0,0,0,0,0,0,1,20220420,20221018
arihk001,Arihara,Kohei,R,R,TEX,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,20220816,20220910
armss001,Armstrong,Shawn,R,R,MIA,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20220410,20220429
armss001,Armstrong,Shawn,R,R,TBA,44,44,3,41,0,0,0,0,0,0,0,0,0,0,0,0,20220531,20221008
arozr001,Arozarena,Randy,R,R,TBA,155,0,0,0,0,0,0,0,0,106,0,25,128,27,3,0,20220408,20221008
arral001,Arraez,Luis,L,R,ALS,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20220719,20220719
arral001,Arraez,Luis,L,R,MIN,144,0,0,0,0,65,41,7,0,0,0,0,0,38,13,0,20220408,20221005
arroc001,Arroyo,Christian,R,R,BOS,87,0,0,0,0,9,40,10,14,0,0,17,17,5,3,2,20220408,20221005
ashba003,Ashby,Aaron,R,L,MIL,27,27,19,8,0,0,0,0,0,0,0,0,0,0,0,0,20220407,20221005
ashcg001,Ashcraft,Graham,L,R,CIN,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,20220522,20221005
assaj001,Assad,Javier,R,R,CHN,9,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20220823,20221004
astuw001,Astudillo,Willians,R,R,MIA,21,2,0,2,0,3,8,10,0,0,0,0,0,1,3,1,20220525,20220727
avilp001,Avila,Pedro,R,R,SDN,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20220414,20220424
