gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ANA202104010,CHA,0,1,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,larut101,value,35,33,3,7,2,0,1,2,0,0,0,2,0,10,1,1,0,0,0,24,0,34,6,0,0,1,4,2,4,0,10,0,0,0,0,0,0,0,1,24,7,1,1,0,1,0,0,0,andet001,eatoa002,abrej003,moncy001,grany001,garcl004,robel002,collz001,madrn001,gioll001,grany001,abrej003,madrn001,moncy001,andet001,garcl004,robel002,eatoa002,collz001,20210401,0,ANA01,v,ANA,0,1,0,regular,y,y
ANA202104010,ANA,0,0,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,6,maddj801,value,34,30,4,6,0,0,1,4,0,0,0,4,0,10,0,0,1,0,1,27,0,35,7,2,0,1,3,3,2,0,10,0,1,0,0,0,1,1,0,27,10,0,0,0,0,1,1,1,fletd002,ohtas001,troum001,renda001,uptoj001,pujoa001,iglej001,stasm001,fowld001,bundd001,stasm001,pujoa001,fletd002,renda001,iglej001,uptoj001,troum001,fowld001,ohtas001,20210401,0,ANA01,h,CHA,1,0,0,regular,y,y
CHN202104010,PIT,2,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,15,sheld801,value,47,35,5,9,2,0,1,5,0,0,1,11,0,10,3,1,0,0,0,27,0,34,2,2,0,0,3,2,4,0,13,0,1,0,1,3,1,0,0,27,8,2,0,0,0,1,1,0,fraza001,hayek001,reynb001,morac001,newmk001,polag001,stalj001,alfoa002,kuhlc001,kuhlc001,stalj001,morac001,fraza001,hayek001,newmk001,reynb001,alfoa002,polag001,,20210401,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN202104010,CHN,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,4,rossd001,value,34,26,3,2,2,0,0,3,1,3,0,4,0,13,1,0,0,0,1,27,0,47,9,2,0,1,5,5,11,0,10,1,0,0,0,0,3,1,0,27,13,0,0,0,0,0,3,1,happi001,contw001,rizza001,bryak001,pedej001,baezj001,heywj001,boted002,hendk001,hendk001,contw001,rizza001,boted002,bryak001,baezj001,pedej001,happi001,heywj001,,20210401,0,CHI11,h,PIT,0,1,0,regular,y,y
CIN202104010,SLN,6,1,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,shilm801,value,41,37,11,10,2,0,2,9,0,0,1,3,0,7,0,0,1,0,1,27,0,42,10,3,0,2,6,6,5,0,8,1,1,0,1,1,0,0,0,27,4,0,1,0,0,1,0,0,edmat001,goldp001,arenn001,dejop001,oneit001,moliy001,carld002,willj006,flahj002,flahj002,moliy001,goldp001,edmat001,arenn001,dejop001,oneit001,carld002,willj006,,20210401,0,CIN09,v,CIN,1,0,0,regular,y,y
CIN202104010,CIN,1,0,2,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,belld002,value,42,34,6,10,3,0,2,5,1,1,1,5,0,8,0,0,0,0,0,27,0,41,10,2,0,2,11,9,3,0,7,1,1,0,0,0,0,0,0,27,12,2,1,0,0,1,0,0,winkj002,castn001,vottj001,suare001,mousm001,senzn001,indij001,barnt001,castl003,castl003,barnt001,vottj001,indij001,mousm001,suare001,winkj002,senzn001,castn001,,20210401,0,CIN09,h,SLN,0,1,0,regular,y,y
COL202104010,LAN,0,0,1,0,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,14,robed001,value,46,36,5,15,3,1,0,5,0,1,1,8,0,6,0,0,3,0,0,24,0,39,11,1,1,0,8,7,3,0,4,0,3,0,1,0,2,1,0,24,15,2,0,0,0,3,2,1,bettm001,seagc001,turnj001,bellc002,muncm001,taylc001,lux-g001,barna001,kersc001,kersc001,barna001,muncm001,lux-g001,turnj001,seagc001,taylc001,bellc002,bettm001,,20210401,0,DEN02,v,COL,0,1,0,regular,y,y
COL202104010,COL,0,0,2,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,,7,blacb001,value,39,35,8,11,1,1,0,5,1,0,0,3,0,4,2,1,0,0,2,27,0,46,15,3,1,0,5,5,8,0,6,1,1,0,0,1,0,0,0,27,12,0,3,0,0,1,0,0,tapir001,fuenj001,stort001,blacc001,cronc002,diaze005,owinc001,hampg001,marqg001,marqg001,diaze005,cronc002,owinc001,fuenj001,stort001,tapir001,hampg001,blacc001,,20210401,0,DEN02,h,LAN,1,0,0,regular,y,y
DET202104010,CLE,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,9,frant001,value,38,32,2,6,1,0,1,2,0,0,0,6,0,5,0,0,1,0,0,24,0,35,5,1,0,1,3,3,5,0,14,0,2,0,0,0,1,0,0,24,6,1,0,0,0,2,1,0,luplj001,hernc005,ramij003,rosae001,reyef001,naylj001,chany001,perer003,gimea001,biebs001,perer003,chany001,hernc005,ramij003,gimea001,rosae001,luplj001,naylj001,reyef001,20210401,0,DET05,v,DET,0,1,0,regular,y,y
DET202104010,DET,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8,hinca001,value,35,30,3,5,1,0,1,3,0,0,0,5,0,14,1,0,0,0,1,27,0,38,6,1,0,1,2,2,6,0,5,0,2,0,0,0,0,0,0,27,12,0,1,0,0,2,0,0,grosr001,candj002,castw003,cabrm001,schoj001,mazan001,ramow001,reyev001,jonej006,boydm001,ramow001,cabrm001,schoj001,candj002,castw003,grosr001,jonej006,reyev001,mazan001,20210401,0,DET05,h,CLE,1,0,0,regular,y,y
