gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
LAN201905290,NYN,2,1,0,0,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,7,callm001,value,42,38,8,13,4,0,4,8,1,0,0,3,0,8,0,1,0,0,1,25,0,43,15,8,0,3,9,9,4,1,5,0,0,0,0,1,1,0,0,25,7,0,0,0,0,0,1,0,rosaa003,smitd008,alonp001,confm001,ramow001,frazt001,gomec002,hecha001,syndn001,syndn001,ramow001,alonp001,hecha001,frazt001,rosaa003,smitd008,gomec002,confm001,,20190529,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN201905290,LAN,0,2,1,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,9,robed001,value,43,38,9,15,8,0,3,9,0,1,0,4,1,5,1,0,0,0,0,27,0,42,13,4,0,4,8,8,3,0,8,0,0,0,1,0,0,1,0,27,11,1,1,0,0,0,0,1,pedej001,muncm001,turnj001,bellc002,seagc001,beatm001,verda001,smitw003,buehw001,buehw001,smitw003,beatm001,muncm001,turnj001,seagc001,pedej001,verda001,bellc002,,20190529,0,LOS03,h,NYN,1,0,0,regular,y,y
MIA201905290,SFN,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,6,bochb002,value,35,33,2,6,2,0,1,2,0,0,0,2,0,9,1,0,0,0,0,24,0,35,11,2,1,0,4,4,1,1,5,1,1,0,0,2,0,0,0,24,11,0,2,0,0,1,0,0,panij002,yastm001,poseb001,sandp001,beltb001,pillk001,crawb001,duggs001,bumgm001,bumgm001,poseb001,beltb001,panij002,sandp001,crawb001,yastm001,duggs001,pillk001,,20190529,0,MIA02,v,MIA,0,1,0,regular,y,y
MIA201905290,MIA,0,0,1,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,7,mattd001,value,35,31,4,11,2,1,0,4,0,2,1,1,1,5,0,0,1,0,0,27,0,35,6,2,0,1,2,2,2,0,9,0,0,0,0,0,1,0,0,27,10,1,0,0,0,0,1,0,deana001,coopg002,andeb006,casts001,ramih004,pradm001,alfaj002,rojam002,lopep002,lopep002,alfaj002,pradm001,casts001,andeb006,rojam002,deana001,ramih004,coopg002,,20190529,0,MIA02,h,SFN,1,0,0,regular,y,y
NYA201905290,SDN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,greea001,value,34,31,0,4,1,0,0,0,0,0,0,3,0,10,1,0,1,0,1,24,0,38,10,0,1,4,7,6,2,0,9,1,0,0,0,1,2,0,0,24,8,1,0,0,0,0,2,0,myerw001,reyef001,machm001,hosme001,renfh001,frant002,kinsi001,hedga001,margm001,paddc001,hedga001,hosme001,kinsi001,frant002,machm001,myerw001,margm001,renfh001,reyef001,20190529,0,NYC21,v,NYA,0,1,0,regular,y,y
NYA201905290,NYA,2,1,0,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,7,boona001,value,38,34,7,10,0,1,4,6,0,1,1,2,0,9,2,0,0,0,1,27,0,34,4,1,0,0,0,0,3,0,10,0,0,0,0,0,1,0,0,27,7,1,1,0,0,0,1,0,lemad001,voitl001,morak001,torrg001,gardb001,frazc001,urshg001,maybc001,romia002,paxtj001,romia002,morak001,lemad001,urshg001,torrg001,maybc001,gardb001,frazc001,voitl001,20190529,0,NYC21,h,SDN,1,0,0,regular,y,y
OAK201905290,ANA,2,0,0,0,1,0,2,0,2,0,5,,,,,,,,,,,,,,,,,,15,ausmb001,value,60,48,12,16,1,0,1,10,1,0,2,9,1,11,0,1,1,0,2,33,0,47,12,3,0,3,7,7,1,0,8,1,0,0,0,1,0,0,0,33,10,0,0,0,0,0,0,0,fletd002,lastt001,ohtas001,lucrj001,calhk001,puelc001,goodb001,rengl001,walsj001,canng001,lucrj001,walsj001,rengl001,lastt001,fletd002,puelc001,goodb001,calhk001,ohtas001,20190529,0,OAK01,v,OAK,1,0,0,regular,y,y
OAK201905290,OAK,0,0,1,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,7,melvb001,value,47,44,7,12,3,0,3,7,0,1,1,1,0,8,0,0,0,0,0,33,0,60,16,1,0,1,12,11,9,1,11,2,1,0,1,0,0,1,1,33,10,2,1,0,1,1,0,1,semim001,grosr001,chapm001,olsom001,piscs001,canhm001,profj001,laurr001,hundn001,hendl001,hundn001,olsom001,profj001,chapm001,semim001,grosr001,laurr001,piscs001,canhm001,20190529,0,OAK01,h,ANA,0,1,0,regular,y,y
PHI201905290,SLN,0,0,0,1,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,7,shilm801,value,38,35,4,8,2,0,1,4,0,0,0,3,0,11,0,0,0,0,0,24,0,44,12,3,0,4,11,9,8,1,11,0,0,0,1,0,0,0,0,24,4,1,0,0,0,0,0,0,fowld001,goldp001,dejop001,ozunm001,carpm002,wietm001,munoy001,badeh001,cabrg001,cabrg001,wietm001,goldp001,munoy001,carpm002,dejop001,ozunm001,badeh001,fowld001,,20190529,0,PHI13,v,PHI,0,1,0,regular,y,y
PHI201905290,PHI,2,0,2,2,5,0,0,0,,,,,,,,,,,,,,,,,,,,,9,kaplg001,value,44,35,11,12,3,0,4,11,1,0,0,8,1,11,0,0,0,0,1,27,0,38,8,2,0,1,4,4,3,0,11,0,0,0,0,0,0,0,0,27,12,1,0,0,0,0,0,0,mccua001,seguj002,harpb003,hoskr001,realj001,hernc005,kings001,franm004,nolaa001,nolaa001,realj001,hoskr001,hernc005,franm004,seguj002,mccua001,kings001,harpb003,,20190529,0,PHI13,h,SLN,1,0,0,regular,y,y
SEA201905290,TEX,3,0,0,0,0,2,0,2,1,,,,,,,,,,,,,,,,,,,,8,woodc001,value,43,40,8,13,2,1,0,8,0,1,0,2,0,9,1,0,0,0,1,27,0,42,11,2,1,2,7,7,6,0,9,0,0,0,0,0,1,0,0,27,8,0,2,0,0,0,1,0,forsl001,santd001,andre001,pench001,mazan001,cabra002,odorr001,guzmr001,mathj001,leclj001,mathj001,forsl001,odorr001,cabra002,andre001,pench001,santd001,mazan001,guzmr001,20190529,0,SEA03,v,SEA,1,0,0,regular,y,y
SEA201905290,SEA,0,0,1,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,8,servs002,value,42,36,7,11,2,1,2,7,0,0,0,6,0,9,1,0,2,0,0,27,0,43,13,2,1,0,8,6,2,0,9,0,1,0,0,1,1,0,1,27,6,3,0,0,1,1,1,0,smitm007,hanim001,voged001,encae001,santd002,seagk001,beckt001,murpt002,longs001,leblw001,murpt002,encae001,longs001,seagk001,beckt001,santd002,smitm007,hanim001,voged001,20190529,0,SEA03,h,TEX,0,1,0,regular,y,y
TBA201905290,TOR,2,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,11,montc001,value,47,42,3,12,3,0,1,3,0,0,0,5,0,9,1,1,1,0,0,31,0,52,14,2,0,0,4,4,8,2,10,0,0,0,0,0,1,1,0,31,7,0,0,0,0,0,1,1,sogae001,gurrl001,smoaj001,tellr001,gricr001,galvf001,drurb001,jansd001,davij007,thort002,jansd001,smoaj001,sogae001,drurb001,galvf001,gurrl001,davij007,gricr001,tellr001,20190529,0,STP01,v,TBA,0,1,0,regular,y,y
TBA201905290,TBA,0,0,1,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,17,cashk001,value,52,44,4,14,2,0,0,4,0,0,0,8,2,10,1,1,0,0,0,33,0,47,12,3,0,1,3,3,5,0,9,0,1,0,0,0,1,1,1,33,11,0,2,0,1,1,1,1,meada001,phamt001,choij001,loweb001,garca003,kierk001,adamw002,krate001,robed004,snelb001,krate001,choij001,loweb001,robed004,adamw002,phamt001,kierk001,garca003,meada001,20190529,0,STP01,h,TOR,1,0,0,regular,y,y
CHA201905300,CLE,0,0,2,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,7,frant001,value,38,32,4,6,2,0,1,3,0,0,1,5,1,5,0,0,2,0,1,24,0,39,15,4,0,2,10,10,1,0,7,0,1,0,0,1,1,2,0,24,11,2,1,0,0,1,1,2,lindf001,merco003,santc002,luplj001,ramij003,kipnj001,perer003,bauej001,alleg002,carrc003,perer003,bauej001,kipnj001,ramij003,lindf001,alleg002,merco003,luplj001,santc002,20190530,0,CHI12,v,CHA,0,1,0,regular,y,y
CHA201905300,CHA,0,2,2,0,1,0,2,3,,,,,,,,,,,,,,,,,,,,,5,rentr001,value,39,37,10,15,4,0,2,8,0,1,0,1,0,7,1,2,0,0,1,27,0,38,6,2,0,1,4,3,5,1,5,1,1,0,0,0,0,0,0,27,12,1,2,0,0,1,0,0,garcl004,moncy001,abrej003,alony001,mccaj001,jimee001,andet001,sancc001,tilsc001,banum001,mccaj001,abrej003,sancc001,moncy001,andet001,jimee001,garcl004,tilsc001,alony001,20190530,0,CHI12,h,CLE,1,0,0,regular,y,y
COL201905300,ARI,3,1,1,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,5,lovut001,value,45,43,10,16,2,1,3,9,0,0,0,2,0,12,0,0,3,0,0,29,0,50,18,3,1,3,11,11,4,1,11,1,1,0,0,1,0,1,0,29,13,0,1,0,0,1,0,1,martk001,locat001,escoe001,jonea003,walkc002,vargi001,ahmen001,kellc002,clart003,clart003,kellc002,walkc002,vargi001,escoe001,ahmen001,locat001,martk001,jonea003,,20190530,0,DEN02,v,COL,0,1,0,regular,y,y
COL201905300,COL,3,2,2,0,1,0,0,2,0,1,,,,,,,,,,,,,,,,,,,10,blacb001,value,50,44,11,18,3,1,3,11,0,1,1,4,1,11,0,1,1,0,0,30,0,45,16,2,1,3,10,10,2,0,12,0,0,0,0,0,0,0,0,30,12,1,3,0,0,0,0,0,tapir001,stort001,dahld001,arenn001,murpd006,mcmar001,woltt001,dazay001,freek001,freek001,woltt001,murpd006,mcmar001,arenn001,stort001,tapir001,dazay001,dahld001,,20190530,0,DEN02,h,ARI,1,0,0,regular,y,y
LAN201905300,NYN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,callm001,value,33,31,0,4,1,0,0,0,0,0,1,1,0,9,0,0,0,0,0,24,0,34,9,2,1,0,2,2,3,0,7,0,0,0,0,0,1,0,0,24,10,0,2,0,0,0,1,0,rosaa003,davij006,confm001,alonp001,frazt001,gomec002,hecha001,nidot001,vargj001,vargj001,nidot001,alonp001,hecha001,frazt001,rosaa003,davij006,gomec002,confm001,,20190530,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN201905300,LAN,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,8,robed001,value,34,31,2,9,2,1,0,2,0,0,0,3,0,7,1,0,2,0,0,27,0,33,4,1,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,taylc001,muncm001,freed001,bellc002,herne001,verda001,martr004,beatm001,ryu-h001,ryu-h001,martr004,freed001,herne001,muncm001,taylc001,beatm001,verda001,bellc002,,20190530,0,LOS03,h,NYN,1,0,0,regular,y,y
MIA201905300,SFN,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,9,bochb002,value,39,30,3,6,2,0,0,3,0,0,1,8,1,5,0,1,1,0,0,27,0,35,7,1,0,0,1,1,4,1,6,0,2,0,0,0,0,0,0,27,13,0,3,0,0,2,0,0,panij002,vogts001,sandp001,beltb001,longe001,crawb001,pillk001,yastm001,beedt001,beedt001,vogts001,sandp001,panij002,longe001,crawb001,beltb001,pillk001,yastm001,,20190530,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201905300,MIA,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,mattd001,value,35,31,1,7,1,0,0,1,0,0,0,4,1,6,0,0,3,0,0,27,0,39,6,2,0,0,3,3,8,1,5,1,0,0,0,0,0,1,0,27,6,0,2,0,0,0,0,1,granc001,coopg002,andeb006,walkn001,casts001,ramih004,rojam002,holab001,alcas001,alcas001,holab001,walkn001,casts001,andeb006,rojam002,granc001,ramih004,coopg002,,20190530,0,MIA02,h,SFN,0,1,0,regular,y,y
PHI201905300,SLN,0,2,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,4,shilm801,value,36,35,5,10,0,0,4,5,0,0,0,1,0,8,0,0,1,0,0,27,0,37,7,2,0,0,3,3,5,2,6,0,0,0,1,0,0,0,0,27,12,0,2,0,0,0,0,0,wongk001,dejop001,goldp001,ozunm001,martj008,wietm001,gyorj001,badeh001,hudsd002,hudsd002,wietm001,goldp001,wongk001,gyorj001,dejop001,ozunm001,badeh001,martj008,,20190530,0,PHI13,v,PHI,1,0,0,regular,y,y
