gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
KCA201604030,NYN,KCA,KAN06,20160403,0,7:38PM,night,,,true,,193,40030,unknown,unknown,sunny,74,rtol,14,boycd701,,,davig901,holbs901,drakr901,torrc901,,,volqe001,harvm001,daviw001,regular,3,4,KCA,NYN,y,both,y,y,y,2016
PIT201604030,SLN,PIT,PIT08,20160403,0,1:15PM,day,,,false,,182,39500,unknown,unknown,unknown,39,tolf,14,krizt701,,,laynj901,wendh902,gibsh902,fagac901,,,lirif001,waina001,,regular,1,4,PIT,SLN,y,both,y,y,y,2016
TBA201604030,TOR,TBA,STP01,20160403,0,4:09PM,day,,,true,,171,31042,dry,none,dome,72,unknown,0,mathb701,,,everm901,emmep901,timmt901,diazl901,,,strom001,archc001,osunr001,regular,5,3,TOR,TBA,y,both,y,y,y,2016
ANA201604040,CHN,ANA,ANA01,20160404,0,7:08PM,night,,,true,,188,44020,unknown,unknown,sunny,75,torf,6,munse701,,,barrt901,herna901,barkl901,littw901,,,arrij001,richg002,,regular,9,0,CHN,ANA,y,both,y,y,y,2016
ARI201604040,COL,ARI,PHO01,20160404,0,6:42PM,night,,,false,,251,48165,unknown,unknown,cloudy,90,torf,5,rausg701,,,kellj901,onorb901,porta901,tumpj901,,,millj006,greiz001,,regular,10,5,COL,ARI,y,both,y,y,y,2016
ATL201604040,WAS,ATL,ATL02,20160404,0,4:13PM,day,,,false,,203,48282,unknown,unknown,sunny,75,ltor,11,mustr701,,,mealj901,kulpr901,nauep901,conrc901,,,treib001,oflae001,papej001,regular,4,3,WAS,ATL,y,both,y,y,y,2016
BAL201604040,MIN,BAL,BAL12,20160404,0,4:46PM,day,,,true,,168,45785,unknown,unknown,overcast,58,rtol,6,hennj701,,,wintm901,wegnm901,fostm901,muchm901,,,britz001,jepsk001,,regular,2,3,BAL,MIN,y,both,y,y,y,2016
CIN201604040,PHI,CIN,CIN09,20160404,0,4:11PM,day,,,false,,176,43683,unknown,unknown,cloudy,50,ltor,16,rothr701,,,millb901,randt901,knigb901,ticht901,,,ohler001,hernd002,,regular,2,6,CIN,PHI,y,both,y,y,y,2016
MIL201604040,SFN,MIL,MIL06,20160404,0,1:11PM,day,,,false,,215,44318,dry,none,dome,65,unknown,0,odrit701,,,gormb901,carlm901,dimum901,wolcq901,,,bumgm001,peraw001,,regular,12,3,SFN,MIL,y,both,y,y,y,2016
OAK201604040,CHA,OAK,OAK01,20160404,0,7:07PM,night,,,true,,176,35067,unknown,unknown,sunny,65,torf,5,dybdc701,,,hallt901,cuzzp901,belld901,morag901,,,salec001,hillr001,robed002,regular,4,3,CHA,OAK,y,both,y,y,y,2016
