date,homeTeam,awayTeam,homeScore,awayScore
2024-04-07,CIN,NYN,1.0,3.0
2024-04-07,CHN,LAN,8.0,1.0
2024-04-07,ATL,ARI,5.0,2.0
2024-04-07,ANA,BOS,2.0,12.0
2024-04-07,KCA,CHA,5.0,3.0
2024-04-08,SDN,CHN,9.0,8.0
2024-04-08,SLN,PHI,3.0,5.0
2024-04-08,PIT,DET,7.0,4.0
2024-04-08,TOR,SEA,5.0,2.0
2024-04-08,TEX,HOU,5.0,10.0
2024-04-08,NYA,MIA,7.0,0.0
2024-04-08,SFN,WAS,1.0,8.0
2024-04-08,COL,ARI,7.0,5.0
2024-04-08,ANA,TBA,7.0,1.0
2024-04-08,ATL,NYN,7.0,8.0
2024-04-08,MIN,LAN,2.0,4.0
2024-04-08,CLE,CHA,4.0,0.0
2024-04-08,CIN,MIL,10.0,8.0
2024-04-09,TEX,OAK,3.0,4.0
2024-04-09,TOR,SEA,5.0,3.0
2024-04-09,SLN,PHI,3.0,0.0
2024-04-09,SFN,WAS,3.0,5.0
2024-04-09,SDN,CHN,1.0,5.0
2024-04-09,NYA,MIA,3.0,2.0
2024-04-09,MIN,LAN,3.0,6.0
2024-04-09,PIT,DET,3.0,5.0
2024-04-09,COL,ARI,2.0,3.0
2024-04-09,CLE,CHA,5.0,7.0
2024-04-09,CIN,MIL,5.0,9.0
2024-04-09,BOS,BAL,1.0,7.0
2024-04-09,ATL,NYN,6.0,5.0
2024-04-09,ANA,TBA,4.0,6.0
2024-04-09,KCA,HOU,4.0,3.0
2024-04-10,SDN,CHN,10.0,2.0
2024-04-10,TOR,SEA,1.0,6.0
2024-04-10,TEX,OAK,6.0,2.0
2024-04-10,SLN,PHI,3.0,4.0
2024-04-10,SFN,WAS,7.0,1.0
2024-04-10,NYA,MIA,2.0,5.0
2024-04-10,CLE,CHA,7.0,6.0
2024-04-10,KCA,HOU,11.0,2.0
2024-04-10,COL,ARI,3.0,5.0
2024-04-10,CIN,MIL,2.0,7.0
2024-04-10,BOS,BAL,5.0,7.0
2024-04-10,ANA,TBA,2.0,4.0
2024-04-10,MIN,LAN,3.0,2.0
2024-04-11,PHI,PIT,5.0,1.0
2024-04-11,KCA,HOU,13.0,3.0
2024-04-11,TEX,OAK,0.0,1.0
2024-04-11,ATL,NYN,4.0,16.0
2024-04-11,BOS,BAL,4.0,9.0
2024-04-12,TOR,COL,4.0,12.0
2024-04-12,TBA,SFN,2.0,1.0
2024-04-12,NYN,KCA,6.0,1.0
2024-04-12,SEA,CHN,4.0,2.0
2024-04-12,PHI,PIT,2.0,5.0
2024-04-12,OAK,WAS,2.0,1.0
2024-04-12,MIA,ATL,1.0,8.0
2024-04-12,BAL,MIL,1.0,11.0
2024-04-12,HOU,TEX,8.0,12.0
2024-04-12,DET,MIN,8.0,2.0
2024-04-12,CHA,CIN,1.0,11.0
2024-04-12,BOS,ANA,0.0,7.0
2024-04-12,ARI,SLN,6.0,9.0
2024-04-12,LAN,SDN,7.0,8.0
2024-04-13,TOR,COL,5.0,3.0
2024-04-13,TBA,SFN,2.0,11.0
2024-04-13,SEA,CHN,1.0,4.0
2024-04-13,PHI,PIT,4.0,3.0
2024-04-13,OAK,WAS,1.0,3.0
2024-04-13,NYN,KCA,7.0,11.0
2024-04-13,MIA,ATL,5.0,1.0
2024-04-13,LAN,SDN,5.0,2.0
2024-04-13,HOU,TEX,9.0,2.0
2024-04-13,DET,MIN,5.0,11.0
2024-04-13,CLE,NYA,2.0,8.0
2024-04-13,CLE,NYA,2.0,3.0
2024-04-13,CHA,CIN,0.0,5.0
2024-04-13,BOS,ANA,7.0,2.0
2024-04-13,BAL,MIL,5.0,11.0
2024-04-13,ARI,SLN,4.0,2.0
2024-04-13,DET,MIN,1.0,4.0
2024-04-14,MIA,ATL,7.0,9.0
2024-04-14,TBA,SFN,9.0,4.0
2024-04-14,SEA,CHN,2.0,3.0
2024-04-14,PHI,PIT,2.0,9.0
2024-04-14,OAK,WAS,7.0,6.0
2024-04-14,NYN,KCA,2.0,1.0
2024-04-14,TOR,COL,5.0,0.0
2024-04-14,LAN,SDN,3.0,6.0
2024-04-14,DET,MIN,4.0,3.0
2024-04-14,CLE,NYA,8.0,7.0
2024-04-14,CHA,CIN,4.0,11.0
2024-04-14,BOS,ANA,5.0,4.0
2024-04-14,BAL,MIL,6.0,4.0
2024-04-14,ARI,SLN,5.0,0.0
2024-04-14,HOU,TEX,8.0,5.0
2024-04-15,TBA,ANA,3.0,7.0
2024-04-15,SEA,CIN,9.0,3.0
2024-04-15,PHI,COL,2.0,1.0
2024-04-15,OAK,SLN,1.0,3.0
2024-04-15,NYN,PIT,6.0,3.0
2024-04-15,MIL,SDN,3.0,7.0
2024-04-15,MIA,SFN,3.0,4.0
2024-04-15,TOR,NYA,3.0,1.0
2024-04-15,HOU,ATL,1.0,6.0
2024-04-15,DET,TEX,0.0,1.0
2024-04-15,CHA,KCA,0.0,2.0
2024-04-15,BOS,CLE,0.0,6.0
2024-04-15,BAL,MIN,7.0,4.0
2024-04-15,ARI,CHN,2.0,3.0
2024-04-15,LAN,WAS,4.0,6.0
2024-04-16,TOR,NYA,5.0,4.0
2024-04-16,TBA,ANA,7.0,6.0
2024-04-16,SEA,CIN,3.0,1.0
2024-04-16,PHI,COL,5.0,0.0
2024-04-16,OAK,SLN,2.0,3.0
2024-04-16,NYN,PIT,3.0,1.0
2024-04-16,MIL,SDN,3.0,6.0
2024-04-16,LAN,WAS,6.0,2.0
2024-04-16,HOU,ATL,2.0,6.0
2024-04-16,DET,TEX,4.0,2.0
2024-04-16,BOS,CLE,7.0,10.0
2024-04-16,BAL,MIN,11.0,3.0
2024-04-16,ARI,CHN,12.0,11.0
2024-04-16,MIA,SFN,6.0,3.0
2024-04-17,MIL,SDN,1.0,0.0
2024-04-17,TBA,ANA,4.0,5.0
2024-04-17,SEA,CIN,5.0,1.0
2024-04-17,TOR,NYA,4.0,6.0
2024-04-17,PHI,COL,7.0,6.0
2024-04-17,OAK,SLN,6.0,3.0
2024-04-17,NYN,PIT,9.0,1.0
2024-04-17,MIA,SFN,1.0,3.0
2024-04-17,BOS,CLE,2.0,0.0
2024-04-17,HOU,ATL,4.0,5.0
2024-04-17,DET,TEX,4.0,5.0
2024-04-17,CHA,KCA,2.0,1.0
2024-04-17,CHA,KCA,2.0,4.0
2024-04-17,BAL,MIN,4.0,2.0
2024-04-17,ARI,CHN,3.0,5.0
2024-04-17,LAN,WAS,0.0,2.0
2024-04-18,TBA,ANA,2.0,1.0
