gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
SDN202403200,LAN,0,0,0,1,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,13,robed001,value,45,33,5,7,0,0,0,4,0,2,1,9,0,7,1,0,0,0,2,27,0,34,4,0,0,0,2,2,4,0,6,0,1,0,0,0,0,0,0,27,11,0,1,0,0,1,0,0,bettm001,ohtas001,freef001,smitw003,muncm001,hernt002,outmj002,heywj001,lux-g001,glast001,smitw003,freef001,lux-g001,muncm001,bettm001,hernt002,outmj002,heywj001,ohtas001,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,SDN,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,shilm801,value,34,30,2,4,0,0,0,1,0,0,0,4,0,6,0,0,1,0,0,27,0,45,7,0,0,0,5,3,9,0,7,1,1,0,0,2,1,0,0,27,8,2,1,0,0,1,1,0,bogax001,tatif002,cronj001,machm001,kim-h002,profj001,campl002,wadet002,merrj002,darvy001,campl002,cronj001,bogax001,wadet002,kim-h002,profj001,merrj002,tatif002,machm001,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
LAN202403210,SDN,5,0,4,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,11,shilm801,value,53,43,15,18,3,1,1,14,0,2,2,6,0,8,1,0,1,0,1,27,0,50,16,3,0,1,11,11,6,0,9,1,1,0,0,1,0,0,0,27,10,0,0,0,0,1,0,0,bogax001,tatif002,cronj001,machm001,kim-h002,profj001,campl002,wadet002,merrj002,musgj001,campl002,cronj001,bogax001,wadet002,kim-h002,profj001,merrj002,tatif002,machm001,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,LAN,1,1,4,0,2,0,1,2,0,,,,,,,,,,,,,,,,,,,,12,robed001,value,50,42,11,16,3,0,1,11,0,1,1,6,0,9,0,0,0,0,0,27,0,53,18,3,1,1,15,14,6,0,8,2,2,0,0,2,1,0,0,27,7,2,1,0,0,2,1,0,bettm001,ohtas001,freef001,smitw003,muncm001,hernt002,outmj002,heywj001,lux-g001,yamay001,smitw003,freef001,lux-g001,muncm001,bettm001,hernt002,outmj002,heywj001,ohtas001,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
ARI202403280,COL,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,blacb001,value,34,30,1,4,2,0,0,1,0,0,1,3,0,6,0,0,1,0,0,24,0,44,18,3,0,1,16,16,3,0,9,0,0,0,0,1,0,0,0,24,8,0,1,0,0,0,0,0,blacc001,bryak001,jonen002,rodgb002,mcmar001,diaze005,tovae001,monte001,doylb001,freek001,diaze005,bryak001,rodgb002,mcmar001,tovae001,jonen002,doylb001,blacc001,monte001,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,ARI,2,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4,lovut001,value,44,40,16,18,3,0,1,16,0,1,0,3,0,9,0,0,1,0,0,27,0,34,4,2,0,0,1,1,3,0,6,1,0,0,0,0,0,0,0,27,14,0,1,0,0,0,0,0,martk001,carrc005,gurrl001,walkc002,moreg001,suare001,alexb001,thoma004,perdg001,gallz001,moreg001,walkc002,martk001,suare001,perdg001,gurrl001,thoma004,carrc005,alexb001,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
BAL202403280,ANA,1,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,1,washr001,value,31,28,3,2,1,0,1,2,0,0,0,3,0,14,0,0,1,0,0,24,0,41,10,2,0,2,11,9,6,0,5,0,3,0,0,2,1,0,0,24,9,1,0,0,0,3,1,0,renda001,hicka001,troum001,wardt002,drurb001,schan001,sanom001,ohopl001,netoz001,sandp002,ohopl001,schan001,drurb001,renda001,netoz001,wardt002,troum001,hicka001,sanom001,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,BAL,2,3,0,2,0,1,3,0,,,,,,,,,,,,,,,,,,,,,6,hydeb801,value,41,33,11,10,2,0,2,11,0,2,0,6,0,5,1,0,0,0,1,27,0,31,2,1,0,1,3,2,3,0,14,0,0,0,0,0,0,0,0,27,8,1,1,0,0,0,0,0,hendg002,rutsa001,mounr001,santa003,haysa001,westj002,mullc002,uriar001,matej003,burnc002,rutsa001,mounr001,matej003,uriar001,hendg002,haysa001,mullc002,santa003,westj002,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
CHA202403280,DET,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,hinca001,value,35,32,1,6,0,0,0,1,0,1,1,1,0,11,1,0,0,0,0,27,0,30,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,ibana001,torks001,greer003,canhm001,vierm001,keitc001,rogej004,baezj001,meadp001,skubt001,rogej004,torks001,keitc001,ibana001,baezj001,greer003,meadp001,vierm001,canhm001,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,CHA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,grifp801,value,30,30,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,27,0,35,6,0,0,0,1,1,1,0,11,1,0,0,0,1,1,0,0,27,7,0,0,0,0,0,1,0,benia002,moncy001,robel002,jimee001,vauga001,dejop001,pillk001,maldm001,lopen001,crocg001,maldm001,vauga001,lopen001,moncy001,dejop001,benia002,robel002,pillk001,jimee001,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
