gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
CHN201504050,SLN,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,10,mathm001,value,40,36,3,10,3,0,0,3,0,0,0,4,1,11,4,1,0,0,0,27,0,34,5,3,0,0,0,0,2,0,12,0,0,0,0,0,1,0,1,27,8,0,0,0,1,0,1,0,carpm002,heywj001,hollm001,peraj001,adamm002,moliy001,wongk001,jay-j001,waina001,waina001,moliy001,adamm002,wongk001,carpm002,peraj001,hollm001,jay-j001,heywj001,,20150405,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN201504050,CHN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,maddj801,value,34,32,0,5,3,0,0,0,0,0,0,2,0,12,1,0,0,0,0,27,0,40,10,3,0,0,3,3,4,1,11,0,0,0,0,0,4,1,0,27,8,2,0,0,0,0,4,1,fowld001,solej001,rizza001,casts001,coghc001,olt-m001,rossd001,lestj001,lastt001,lestj001,rossd001,rizza001,lastt001,olt-m001,casts001,coghc001,fowld001,solej001,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
ARI201504060,SFN,0,0,1,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,bochb002,value,40,37,5,13,3,0,0,4,0,1,0,2,0,7,0,0,1,0,0,27,0,39,9,1,1,0,4,4,3,0,6,2,1,0,0,0,0,0,0,27,13,0,2,0,0,1,0,0,aokin001,panij002,pagaa001,poseb001,beltb001,mcgec001,crawb001,blang001,bumgm001,bumgm001,poseb001,beltb001,panij002,mcgec001,crawb001,aokin001,pagaa001,blang001,,20150406,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201504060,ARI,0,0,1,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,8,halec001,value,39,34,4,9,1,1,0,4,0,0,2,3,0,6,0,0,2,0,0,27,0,40,13,3,0,0,5,4,2,0,7,0,0,0,0,1,0,0,0,27,10,1,1,0,0,0,0,0,polla001,incie001,goldp001,trumm001,hilla001,owinc001,goset001,ahmen001,collj001,collj001,goset001,goldp001,owinc001,hilla001,ahmen001,incie001,polla001,trumm001,,20150406,0,PHO01,h,SFN,0,1,0,regular,y,y
CIN201504060,PIT,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,6,hurdc001,value,35,34,2,7,1,0,1,2,0,0,0,1,0,13,0,0,0,0,0,24,0,32,5,0,0,2,5,5,3,0,8,0,0,1,0,0,1,0,0,24,10,0,0,0,0,0,1,0,harrj002,polag001,mccua001,walkn001,marts002,alvap001,cervf001,mercj002,lirif001,lirif001,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,20150406,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN201504060,CIN,0,0,1,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,3,pricb801,value,32,29,5,5,0,0,2,4,0,0,0,3,0,8,1,0,0,0,0,27,0,35,7,1,0,1,2,2,1,0,13,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,hamib001,vottj001,frazt001,mesod001,byrdm001,brucj001,philb001,cozaz001,cuetj001,cuetj001,mesod001,vottj001,philb001,frazt001,cozaz001,byrdm001,hamib001,brucj001,,20150406,0,CIN09,h,PIT,1,0,0,regular,y,y
DET201504060,MIN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,molip001,value,31,31,0,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,24,0,34,10,1,1,2,4,4,2,0,6,0,0,0,0,1,3,0,0,24,6,0,2,0,0,0,3,0,santd001,dozib001,mauej001,huntt001,vargk001,plout001,arcio001,suzuk001,schaj002,hughp001,suzuk001,mauej001,dozib001,plout001,santd001,arcio001,schaj002,huntt001,vargk001,20150406,0,DET05,v,DET,0,1,0,regular,y,y
DET201504060,DET,0,3,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,6,ausmb001,value,34,31,4,10,1,1,2,4,0,1,0,2,0,6,3,0,2,0,0,27,0,31,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,27,9,0,1,0,0,0,0,0,davir003,kinsi001,cabrm001,martv001,martj006,cespy001,castn001,avila001,iglej001,pricd001,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,davir003,martj006,martv001,20150406,0,DET05,h,MIN,1,0,0,regular,y,y
HOU201504060,CLE,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,frant001,value,32,29,0,3,0,0,0,0,0,0,0,3,0,7,0,0,1,0,0,24,0,28,3,0,0,0,2,2,2,0,7,0,0,0,0,1,1,0,0,24,10,0,0,0,0,0,1,0,bourm001,kipnj001,branm003,santc002,gomey001,mossb001,rabur001,chisl001,ramij003,klubc001,gomey001,santc002,kipnj001,chisl001,ramij003,branm003,bourm001,mossb001,rabur001,20150406,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU201504060,HOU,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,2,hinca001,value,28,25,2,3,0,0,0,2,0,1,0,2,0,7,1,0,0,0,0,27,0,32,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,27,13,0,1,0,0,0,0,0,altuj001,sprig001,valbl001,gatte001,cartc002,castj006,lowrj001,rasmc001,marij002,keucd001,castj006,cartc002,altuj001,valbl001,lowrj001,rasmc001,marij002,sprig001,gatte001,20150406,0,HOU03,h,CLE,1,0,0,regular,y,y
KCA201504060,CHA,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,3,ventr001,value,31,28,1,5,1,0,1,1,0,0,1,2,0,3,0,0,3,0,0,24,0,42,13,3,0,2,10,10,5,1,3,2,1,0,1,0,2,0,0,24,7,0,2,0,0,1,2,0,eatoa002,cabrm002,abrej003,laroa001,garca003,ramia003,gillc001,flowt001,johnm006,samaj001,flowt001,abrej003,johnm006,gillc001,ramia003,cabrm002,eatoa002,garca003,laroa001,20150406,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201504060,KCA,0,1,2,0,1,0,5,1,,,,,,,,,,,,,,,,,,,,,8,yoste001,value,42,34,10,13,3,0,2,9,1,0,2,5,1,3,2,0,1,0,0,27,0,31,5,1,0,1,1,1,2,0,3,1,0,0,0,0,0,0,0,27,16,0,3,0,0,0,0,0,escoa003,mousm001,cainl001,hosme001,morak001,gorda001,riosa002,peres002,infao001,venty001,peres002,hosme001,infao001,mousm001,escoa003,gorda001,cainl001,riosa002,morak001,20150406,0,KAN06,h,CHA,1,0,0,regular,y,y
LAN201504060,SDN,1,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,blacb001,value,35,31,3,7,4,0,0,3,0,0,2,2,0,12,1,0,2,0,0,24,0,39,9,4,1,2,6,5,5,2,10,1,0,0,0,0,2,1,0,24,9,1,0,0,0,0,2,1,myerw001,norrd001,kempm001,uptoj001,middw001,gyorj001,alony001,barmc001,shiej002,shiej002,norrd001,alony001,gyorj001,middw001,barmc001,uptoj001,myerw001,kempm001,,20150406,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN201504060,LAN,0,0,0,2,0,0,1,3,,,,,,,,,,,,,,,,,,,,,9,mattd001,value,39,33,6,9,4,1,2,6,0,0,1,5,2,10,2,1,0,0,1,27,0,35,7,4,0,0,3,3,2,0,12,2,0,0,0,0,1,0,0,27,10,0,2,0,0,0,1,0,rollj001,puigy001,gonza003,kendh001,crawc002,uribj002,pedej001,ellia001,kersc001,kersc001,ellia001,gonza003,kendh001,uribj002,rollj001,crawc002,pedej001,puigy001,,20150406,0,LOS03,h,SDN,1,0,0,regular,y,y
MIA201504060,ATL,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,6,gonzf801,value,35,33,2,6,1,0,0,2,1,0,0,1,0,7,1,0,0,0,1,27,0,32,8,1,0,0,1,1,1,0,7,0,0,0,0,0,0,1,0,27,12,0,2,0,0,0,0,1,youne003,petej002,markn001,freef001,bethc001,johnk003,calla001,simma001,tehej001,tehej001,bethc001,freef001,petej002,calla001,simma001,johnk003,youne003,markn001,,20150406,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201504060,MIA,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,redmm001,value,32,31,1,8,1,0,0,1,0,0,0,1,0,7,0,1,2,0,0,27,0,35,6,1,0,0,2,2,1,0,7,0,0,1,1,0,1,0,0,27,15,0,0,0,0,0,1,0,gordd002,yelic001,stanm004,morsm001,pradm001,ozunm001,saltj001,hecha001,alvah001,alvah001,saltj001,morsm001,gordd002,pradm001,hecha001,yelic001,ozunm001,stanm004,,20150406,0,MIA02,h,ATL,0,1,0,regular,y,y
MIL201504060,COL,4,0,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,weisw001,value,44,42,10,16,6,0,2,10,1,0,0,1,0,6,0,0,1,0,2,27,0,34,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,27,8,0,2,0,0,0,0,0,blacc001,gonzc001,tulot001,mornj001,arenn001,dickc002,hundn001,lemad001,kendk001,kendk001,hundn001,mornj001,lemad001,arenn001,tulot001,dickc002,blacc001,gonzc001,,20150406,0,MIL06,v,MIL,1,0,0,regular,y,y
MIL201504060,MIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,roenr001,value,34,33,0,8,0,0,0,0,0,0,1,0,0,9,0,0,2,0,0,27,0,44,16,6,0,2,10,9,1,0,6,0,2,0,1,0,0,0,0,27,12,3,2,0,0,2,0,0,gomec002,lucrj001,braur002,ramia001,linda001,davik003,genns001,seguj002,lohsk001,lohsk001,lucrj001,linda001,genns001,ramia001,seguj002,davik003,gomec002,braur002,,20150406,0,MIL06,h,COL,0,1,0,regular,y,y
NYA201504060,TOR,0,0,5,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,6,gibbj001,value,39,33,6,6,0,0,2,5,1,0,0,5,0,12,2,0,0,0,1,27,0,33,3,0,0,1,1,1,3,0,5,1,0,0,0,0,0,1,0,27,4,0,0,0,0,0,0,1,reyej001,martr004,bautj002,encae001,donaj001,navad001,pompd001,pillk001,travd001,hutcd001,martr004,encae001,travd001,donaj001,reyej001,pillk001,pompd001,bautj002,navad001,20150406,0,NYC21,v,NYA,1,0,0,regular,y,y
NYA201504060,NYA,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,5,giraj001,value,33,29,1,3,0,0,1,1,0,0,1,3,0,5,0,1,0,0,0,27,0,39,6,0,0,2,6,5,5,0,12,0,0,0,1,0,2,0,0,27,6,1,0,0,0,0,2,0,ellsj001,gardb001,beltc001,teixm001,mccab002,headc001,rodra001,drews001,gregd001,tanam001,mccab002,teixm001,drews001,headc001,gregd001,gardb001,ellsj001,beltc001,rodra001,20150406,0,NYC21,h,TOR,0,1,0,regular,y,y
OAK201504060,TEX,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,banij001,value,30,28,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,24,0,41,11,3,1,2,8,8,4,0,9,0,2,0,0,0,0,0,0,24,6,1,0,0,0,2,0,0,martl004,andre001,fielp001,belta001,choos001,rua-r001,morem001,chirr001,odorr001,gally001,chirr001,fielp001,odorr001,belta001,andre001,rua-r001,martl004,choos001,morem001,20150406,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201504060,OAK,2,0,0,2,0,0,3,1,,,,,,,,,,,,,,,,,,,,,9,melvb001,value,41,37,8,11,3,1,2,7,0,0,0,4,0,9,0,0,0,0,2,27,0,30,1,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,27,8,1,1,0,0,0,0,0,gentc001,fulds001,zobrb001,butlb003,davii001,lawrb002,vogts001,semim001,sogae001,grays001,vogts001,davii001,sogae001,lawrb002,semim001,zobrb001,fulds001,gentc001,butlb003,20150406,0,OAK01,h,TEX,1,0,0,regular,y,y
PHI201504060,BOS,1,0,1,0,2,0,0,0,4,,,,,,,,,,,,,,,,,,,,7,farrj001,value,42,35,8,9,0,0,5,8,0,0,0,7,0,9,1,0,1,0,0,27,0,33,3,1,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,27,9,1,0,0,0,0,0,0,bettm001,pedrd001,ortid001,ramih003,sandp001,victs001,bogax001,hanir001,buchc001,buchc001,hanir001,ortid001,pedrd001,sandp001,bogax001,ramih003,bettm001,victs001,,20150406,0,PHI13,v,PHI,1,0,0,regular,y,y
PHI201504060,PHI,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,sandr001,value,33,31,0,3,1,0,0,0,0,0,0,2,0,9,0,0,0,0,1,27,0,42,9,0,0,5,8,8,7,0,9,0,0,1,0,0,1,0,0,27,10,0,1,0,0,0,1,0,reveb001,herro001,utlec001,howar001,ruizc001,sizeg001,aschc001,galvf001,hamec001,hamec001,ruizc001,howar001,utlec001,aschc001,galvf001,reveb001,herro001,sizeg001,,20150406,0,PHI13,h,BOS,0,1,0,regular,y,y
SEA201504060,ANA,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,sciom001,value,32,29,1,4,0,0,1,1,0,0,1,2,0,12,0,0,2,0,0,24,0,33,10,3,1,1,4,4,1,0,3,0,1,0,0,0,0,0,0,24,9,0,1,0,0,1,0,0,calhk001,troum001,pujoa001,joycm001,freed001,aybae001,cronc002,iannc001,giavj001,weavj003,iannc001,pujoa001,giavj001,freed001,aybae001,joycm001,troum001,calhk001,cronc002,20150406,0,SEA03,v,SEA,0,1,0,regular,y,y
SEA201504060,SEA,0,0,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,5,mccll001,value,33,32,4,10,3,1,1,4,0,0,0,1,0,3,0,0,1,0,0,27,0,32,4,0,0,1,1,1,2,0,12,1,0,0,0,0,0,0,0,27,10,0,2,0,0,0,0,0,jacka001,smits002,canor001,cruzn002,seagk001,morrl001,zunim001,ackld001,millb002,hernf002,zunim001,morrl001,canor001,seagk001,millb002,ackld001,jacka001,smits002,cruzn002,20150406,0,SEA03,h,ANA,1,0,0,regular,y,y
TBA201504060,BAL,1,0,0,0,2,1,0,1,1,,,,,,,,,,,,,,,,,,,,4,showb801,value,37,34,6,8,2,0,3,6,0,0,1,2,0,11,0,0,0,0,1,27,0,35,8,2,0,1,2,2,3,0,8,0,1,0,0,0,0,0,0,27,11,0,1,0,0,1,0,0,deaza001,machm001,jonea003,pears001,snidt001,yound003,flahr001,schoj001,josec002,tillc001,josec002,pears001,schoj001,machm001,flahr001,deaza001,jonea003,snidt001,yound003,20150406,0,STP01,v,TBA,1,0,0,regular,y,y
TBA201504060,TBA,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,6,cashk001,value,35,32,2,8,2,0,1,2,0,0,0,3,0,8,0,0,1,0,1,27,0,37,8,2,0,3,6,5,2,0,11,1,0,0,0,0,0,0,0,27,9,1,0,0,0,0,0,0,jasoj001,souzs001,cabra002,longe001,lonej001,jennd002,river003,forsl001,kierk001,archc001,river003,lonej001,forsl001,longe001,cabra002,jennd002,kierk001,souzs001,jasoj001,20150406,0,STP01,h,BAL,0,1,0,regular,y,y
WAS201504060,NYN,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,7,collt801,value,37,34,3,5,0,1,0,3,0,0,0,3,0,9,0,0,0,0,2,27,0,32,3,0,0,1,1,1,1,0,10,0,0,0,0,0,0,0,0,27,12,1,0,0,0,0,0,0,granc001,wrigd002,dudal001,cuddm001,murpd006,lagaj001,darnt001,florw001,colob001,colob001,darnt001,dudal001,murpd006,wrigd002,florw001,cuddm001,lagaj001,granc001,,20150406,0,WAS11,v,WAS,1,0,0,regular,y,y
WAS201504060,WAS,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,willm003,value,32,31,1,3,0,0,1,1,0,0,0,1,0,10,0,0,0,0,1,27,0,37,5,0,1,0,3,0,3,0,9,0,0,0,0,0,0,0,0,27,6,2,0,0,0,0,0,0,taylm002,escoy001,harpb003,zimmr001,ramow001,desmi001,uggld001,moort002,schem001,schem001,ramow001,zimmr001,uggld001,escoy001,desmi001,moort002,taylm002,harpb003,,20150406,0,WAS11,h,NYN,0,1,0,regular,y,y
ARI201504070,SFN,2,0,0,1,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,6,bochb002,value,39,35,6,10,4,0,2,6,0,1,0,3,1,8,0,0,0,0,0,24,0,36,8,1,1,2,7,7,5,0,7,0,0,0,0,0,1,0,0,24,8,0,1,0,0,0,1,0,aokin001,panij002,pagaa001,poseb001,beltb001,mcgec001,crawb001,blang001,voger001,voger001,poseb001,beltb001,panij002,mcgec001,crawb001,aokin001,pagaa001,blang001,,20150407,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201504070,ARI,0,1,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,5,halec001,value,36,31,7,8,1,1,2,7,0,0,0,5,0,7,1,0,1,0,0,27,0,39,10,4,0,2,6,6,3,1,8,0,0,0,0,1,0,0,0,27,12,0,0,0,0,0,0,0,incie001,hilla001,goldp001,perad001,trumm001,lambj001,goset001,ahmen001,delar003,delar003,goset001,goldp001,hilla001,lambj001,ahmen001,perad001,incie001,trumm001,,20150407,0,PHO01,h,SFN,1,0,0,regular,y,y
LAN201504070,SDN,1,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,9,blacb001,value,43,40,7,11,1,1,0,6,1,0,0,2,1,7,2,0,0,0,3,27,0,36,7,4,0,1,3,3,4,0,9,0,0,0,0,0,1,1,0,27,11,0,0,0,0,0,1,1,myerw001,norrd001,kempm001,uptoj001,middw001,alony001,gyorj001,amara001,rosst001,rosst001,norrd001,alony001,gyorj001,middw001,amara001,uptoj001,myerw001,kempm001,,20150407,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201504070,LAN,0,0,0,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,6,mattd001,value,36,32,3,7,4,0,1,3,0,0,0,4,0,9,1,1,0,0,0,27,0,43,11,1,1,0,7,4,2,1,7,0,1,0,1,0,2,0,0,27,9,3,0,0,0,1,2,0,rollj001,puigy001,gonza003,kendh001,grany001,crawc002,uribj002,pedej001,greiz001,greiz001,grany001,gonza003,kendh001,uribj002,rollj001,crawc002,pedej001,puigy001,,20150407,0,LOS03,h,SDN,0,1,0,regular,y,y
