id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
flynb001,Flynn,Brian,L,L,KCA,11,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,20190527,20190725
foltm001,Foltynewicz,Mike,R,R,ATL,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,20190427,20191009
fontw001,Font,Wilmer,R,R,NYN,15,15,3,12,0,0,0,0,0,0,0,0,0,0,0,0,20190508,20190707
fontw001,Font,Wilmer,R,R,TBA,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20190401,20190501
fontw001,Font,Wilmer,R,R,TOR,23,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,20190720,20190929
fordm002,Ford,Mike,L,R,NYA,50,1,0,1,0,29,0,0,0,0,0,0,0,14,12,0,20190418,20190929
forsl001,Forsythe,Logan,R,R,TEX,101,0,0,0,0,46,8,33,15,0,0,0,0,0,9,2,20190331,20190908
fowld001,Fowler,Dexter,B,R,SLN,159,0,0,0,0,0,0,0,0,0,64,122,148,0,12,1,20190328,20191015
fralj001,Fraley,Jake,L,L,SEA,12,0,0,0,0,0,0,0,0,0,11,1,12,0,2,0,20190821,20190907
frane001,Franco,Enderson,R,R,SFN,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20190918,20190929
franm004,Franco,Maikel,R,R,PHI,123,0,0,0,0,2,0,110,0,0,0,0,0,0,14,1,20190328,20190929
frant002,France,Ty,R,R,SDN,69,2,0,2,0,1,21,36,0,0,0,0,0,0,21,0,20190426,20190928
frarc001,Frare,Caleb,L,L,CHA,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20190401,20190505
fraza001,Frazier,Adam,L,R,PIT,152,0,0,0,0,0,142,0,0,0,0,0,0,0,13,0,20190328,20190929
frazc001,Frazier,Clint,R,R,NYA,69,0,0,0,0,0,0,0,0,17,0,36,53,15,4,1,20190402,20190929
frazt001,Frazier,Todd,R,R,NYN,133,0,0,0,0,3,0,120,0,0,0,0,0,3,12,0,20190422,20190929
