teamID,yearID,cluster_id,cluster_dist_min,cluster_dist_mean,cluster_dist_0,cluster_dist_1,cluster_dist_2,cluster_dist_3,cluster_dist_4,cluster_dist_5,cluster_dist_6,cluster_dist_7,cluster_oh_0,cluster_oh_1,cluster_oh_2,cluster_oh_3,cluster_oh_4,cluster_oh_5,cluster_oh_6,cluster_oh_7
AB,1903,7,2.717518900107354,12.949892400332923,7.041509396096872,16.264249792201745,15.304381923978756,13.238370227613297,15.465573497113473,17.84694546711698,15.720589998434898,2.717518900107354,0,0,0,0,0,0,0,1
AB2,1931,7,2.9255897178924903,9.617958745681271,3.217215598372278,12.472593194995378,11.28896754821605,9.576914579003974,11.429987629635917,14.141769398240555,11.890632299093522,2.9255897178924903,0,0,0,0,0,0,0,1
AB2,1932,7,2.4813220214834075,10.072382170670647,4.0077969050866695,12.916641665631138,11.629386993067913,10.736405575892794,11.970254853737108,14.581379959744659,12.255869390721486,2.4813220214834075,0,0,0,0,0,0,0,1
AB3,1938,7,1.9924515135024599,11.645531420463321,5.461929841841945,14.861452324729695,13.805627405724328,12.20764794319394,14.021543723943841,16.482032714888756,14.3315658958816,1.9924515135024599,0,0,0,0,0,0,0,1
ABC,1914,0,2.428398379684019,8.371912323070704,2.428398379684019,10.785475606243486,9.255753788748102,8.034246065061089,9.767407957814179,12.529126233253507,9.323774590093608,4.851115963667644,1,0,0,0,0,0,0,0
ABC,1915,0,4.164091533267799,9.514459232671062,4.164091533267799,12.002862764888153,10.639942845059894,8.795905621513112,11.061998051499208,13.631736508470109,10.733855246715509,5.0852812899547235,1,0,0,0,0,0,0,0
ABC,1916,7,2.6411728570357904,9.919127714987571,3.6877382188161207,13.01024303056957,11.603190547475238,9.842155196647836,11.971994398981895,14.705242538809928,11.891284931564178,2.6411728570357904,0,0,0,0,0,0,0,1
ABC,1917,0,4.904656174157894,9.937968018499475,4.904656174157894,12.358293709360817,10.959250752557516,9.062845116470161,11.329711918984792,14.023669246861676,11.108114230410662,5.757202999192288,1,0,0,0,0,0,0,0
ABC,1918,7,5.453492409177955,10.998049992039011,5.630533519000327,13.734717982352276,12.441961744376457,10.06622216512709,12.685484696415399,15.238253444341778,12.733733975520805,5.453492409177955,0,0,0,0,0,0,0,1
ABC,1920,0,3.472488391121013,8.461645479267668,3.472488391121013,10.401289766122298,8.751108730329936,8.040373609354965,9.338702415705653,12.239013235074571,9.14451701794605,6.305670668486859,1,0,0,0,0,0,0,0
ABC,1921,0,3.736524249478788,7.7326934928871065,3.736524249478788,9.407414182428578,7.14479028697673,7.131060862857782,7.929827676733781,11.242356240336196,7.797393341190893,7.472181103094094,1,0,0,0,0,0,0,0
ABC,1922,0,4.080354301685053,7.676151326147307,4.080354301685053,9.105718986430533,6.812037217311723,7.920965211268089,7.448540526987762,11.03073282044603,7.825278173362649,7.185583371686614,1,0,0,0,0,0,0,0
