playerID,nameLast,nameFirst,teamID,WAR_basic_total
stephja01,Stephens,Jackson,ATL,0.0789922412033135
trompch01,Tromp,Chadwick,ATL,0.0736318412200296
hergeji01,Herget,Jimmy,ATL,0.0622712924522602
wallfo01,Wall,Forrest,ATL,0.0230009142558136
dodddy01,Dodd,Dylan,ATL,-0.0926046552780118
jackslu01,Jackson,Luke,ATL,-0.1334418975021067
guilllu01,Guillorme,Luis,ATL,-0.1666975091814224
martijp01,Martínez,J. P.,ATL,-0.1733302858139545
fletcda02,Fletcher,David,ATL,-0.1934972572325591
kerrra01,Kerr,Ray,ATL,-0.2007519839377992
stridsp01,Strider,Spencer,ATL,-0.2167209487510533
dunshpa01,Dunshee,Parker,ATL,-0.3747054311576804
shortza01,Short,Zack,ATL,-0.3823299810620167
anderbr06,Anderson,Brian,ATL,-0.4616651429069772
matzety01,Matzek,Tyler,ATL,-0.5630232763900593
willilu01,Williams,Luke,ATL,-0.5985415942941488
vinesda01,Vines,Darius,ATL,-0.6661318110664144
waldrhu01,Waldrep,Hurston,ATL,-0.9241162934730416
winanal01,Winans,Allan,ATL,-0.988317845232379
elderbr01,Elder,Bryce,ATL,-1.033015606070628
alvarna01,Alvarez,Nacho,ATL,-1.7246569146046546
rosared01,Rosario,Eddie,ATL,-1.902102910717361
duvalad01,Duvall,Adam,ATL,-2.3099984417614934
hendegu01,Henderson,Gunnar,BAL,29.918981021405244
santaan02,Santander,Anthony,BAL,19.81030069925438
cowseco01,Cowser,Colton,BAL,12.807283190286052
westbjo01,Westburg,Jordan,BAL,11.832930791159166
ohearry01,O'Hearn,Ryan,BAL,10.751253632483644
rutscad01,Rutschman,Adley,BAL,8.91648398223258
mountry01,Mountcastle,Ryan,BAL,8.904384953207131
mullice01,Mullins,Cedric,BAL,6.991068856872355
uriasra01,Urias,Ramon,BAL,5.846912808764676
norbyco01,Norby,Connor,BAL,3.510542520498869
riverem01,Rivera,Emmanuel,BAL,3.454948353002108
burneco01,Burnes,Corbin,BAL,2.835247662153182
haysau01,Hays,Austin,BAL,2.491059396263943
kjershe01,Kjerstad,Heston,BAL,2.210398378084553
mccanja02,McCann,James,BAL,1.6454758446715525
